strTemplate	intSize	strLairType	strBuildingType	intMinDifficulty	intMaxDifficulty
s	i	s	s	i	i
object/tangible/lair/npc_lair.iff	25	global_rebel_specforce_camp_rebel_small_theater		14	147
object/tangible/lair/npc_lair.iff	25	global_rebel_specforce_camp2_rebel_small_theater		20	238
object/tangible/lair/npc_lair.iff	25	global_rebel_specforce_camp_rebel_large_theater		20	261
object/tangible/lair/npc_lair.iff	25	global_rebel_specforce_camp2_rebel_large_theater		14	146
object/tangible/lair/npc_lair.iff	25	global_rebel_patrol_camp_rebel_small_theater		5	50
object/tangible/lair/npc_lair.iff	25	global_rebel_patrol_camp2_rebel_small_theater		10	106
object/tangible/lair/npc_lair.iff	25	global_rebel_patrol_camp3_rebel_small_theater		18	185
object/tangible/lair/npc_lair.iff	25	global_rebel_specforce_base_rebel_large_theater		20	223
object/tangible/lair/npc_lair.iff	25	global_rebel_specforce_base2_rebel_large_theater		14	415
object/tangible/lair/npc_lair.iff	25	global_rebel_base_rebel_large_theater		11	113
object/tangible/lair/npc_lair.iff	25	global_rebel_base2_rebel_large_theater		20	261
object/tangible/lair/npc_lair.iff	25	global_rebel_base3_rebel_large_theater		20	424
object/tangible/lair/npc_lair.iff	25	global_rebel_network_leader_camp_rebel_medium_theater		20	100
object/tangible/lair/npc_lair.iff	25	global_rebel_warrant_officer_camp_rebel_medium_theater		20	100
object/tangible/lair/npc_lair.iff	25	global_rebel_sgt_major_camp_rebel_medium_theater		20	100
object/tangible/lair/npc_lair.iff	25	global_rebel_spaceforece_trooper_camp_rebel_medium_theater		15	150
object/tangible/lair/npc_lair.iff	25	global_rebel_army_captain_camp_rebel_medium_theater		15	150
object/tangible/lair/npc_lair.iff	25	global_rebel_brigadier_general_camp_rebel_large_theater		20	200
