strTemplate	intSize	strLairType	strBuildingType	intMinDifficulty	intMaxDifficulty
s	i	s	s	i	i
object/tangible/lair/npc_lair.iff	25	global_gambler_camp_neutral_small_theater		14	147
object/tangible/lair/npc_lair.iff	25	global_assassin_camp_neutral_small_theater		10	238
object/tangible/lair/npc_lair.iff	25	global_bounty_hunter_camp_neutral_small_theater		10	261
object/tangible/lair/npc_lair.iff	25	global_rodian_thug_neutral_none		14	146
object/tangible/lair/npc_lair.iff	25	global_bothan_diplomat_neutral_none		8	50
object/tangible/lair/npc_lair.iff	25	global_information_broker_neutral_none		10	106
object/tangible/lair/npc_lair.iff	25	global_wookiee_brawler_neutral_none		10	185
object/tangible/lair/npc_lair.iff	25	global_hunter_neutral_none		10	223
object/tangible/lair/npc_lair.iff	25	global_smuggler_neutral_none		12	125
