stormtrooper_heavy_small	stormtrooper_heavy_medium	stormtrooper_heavy_large	storm_commando_heavy_small	storm_commando_heavy_large	dark_trooper_heavy
s	s	s	s 	s 	s
stormtrooper_squad_leader	stormtrooper_captain	imperial_army_captain	storm_commando	dark_trooper	dark_trooper
at_st	stormtrooper_squad_leader	stormtrooper_captain	storm_commando	at_st	dark_trooper
stormtrooper	at_st	stormtrooper_squad_leader	storm_commando	storm_commando	dark_trooper
stormtrooper	stormtrooper	at_st	storm_commando	storm_commando	dark_trooper
stormtrooper	stormtrooper	at_st	storm_commando	storm_commando	dark_trooper
stormtrooper	stormtrooper	stormtrooper	storm_commando	storm_commando	dark_trooper
stormtrooper_medic	stormtrooper	stormtrooper	storm_commando	storm_commando	dark_trooper
stormtrooper_bombardier	stormtrooper	stormtrooper	storm_commando	storm_commando	dark_trooper
stormtrooper_sniper	stormtrooper_medic	stormtrooper	at_st	storm_commando	at_st
dark_trooper	stormtrooper_bombardier	stormtrooper	stormtrooper_novatrooper_elite	storm_commando	stormtrooper_novatrooper_elite
dark_trooper	stormtrooper_sniper	stormtrooper_medic		stormtrooper_novatrooper_elite	stormtrooper_novatrooper_elite_commander
dark_trooper	dark_trooper	stormtrooper_bombardier		stormtrooper_novatrooper_elite_commander	stormtrooper_novatrooper_medic
dark_trooper	dark_trooper	stormtrooper_bombardier			
dark_trooper	dark_trooper	stormtrooper_sniper			
elite_dark_trooper	dark_trooper	stormtrooper_novatrooper_cadet
	dark_trooper	
	elite_dark_trooper	
