sand_trooper_small	sand_trooper_medium	sand_trooper_large	sand_trooper_huge
s	s	s	s
sand_trooper	stormtrooper_squad_leader	stormtrooper_captain	imperial_army_captain
sand_trooper	sand_trooper	stormtrooper_squad_leader	stormtrooper_captain
sand_trooper	sand_trooper	sand_trooper	stormtrooper_squad_leader
sand_trooper	sand_trooper	sand_trooper	sand_trooper
sand_trooper	sand_trooper	sand_trooper	sand_trooper
stormtrooper_medic	sand_trooper	sand_trooper	sand_trooper
elite_sand_trooper	stormtrooper_medic	sand_trooper	sand_trooper
elite_sand_trooper	stormtrooper_bombardier	stormtrooper_medic	sand_trooper
elite_sand_trooper	elite_sand_trooper	stormtrooper_bombardier	stormtrooper_medic
elite_sand_trooper	elite_sand_trooper	stormtrooper_sniper	stormtrooper_bombardier
	elite_sand_trooper	elite_sand_trooper	stormtrooper_bombardier
	elite_sand_trooper	elite_sand_trooper	stormtrooper_sniper
		elite_sand_trooper	elite_sand_trooper
		elite_sand_trooper	elite_sand_trooper
			elite_sand_trooper
			elite_sand_trooper
			stormtrooper_novatrooper_elite
			stormtrooper_novatrooper_elite_commander
