stormtrooper_small	stormtrooper_medium	stormtrooper_large	stormtrooper_huge	storm_commando_small	storm_commando_large	dark_trooper
s	s	s	s	s 	s 	s
stormtrooper	stormtrooper_squad_leader	stormtrooper_captain	imperial_army_captain	storm_commando	dark_trooper	dark_trooper
stormtrooper	stormtrooper	stormtrooper_squad_leader	stormtrooper_captain	storm_commando	storm_commando	dark_trooper
stormtrooper	stormtrooper	stormtrooper	stormtrooper_squad_leader	storm_commando	storm_commando	dark_trooper
stormtrooper	stormtrooper	stormtrooper	stormtrooper	storm_commando	storm_commando	dark_trooper
stormtrooper_medic	stormtrooper	stormtrooper	stormtrooper	storm_commando	storm_commando	dark_trooper
stormtrooper_bombardier	stormtrooper_medic	stormtrooper	stormtrooper	storm_commando	storm_commando	dark_trooper
dark_trooper	stormtrooper_bombardier	stormtrooper	stormtrooper	storm_commando	storm_commando	dark_trooper
dark_trooper	stormtrooper_sniper	stormtrooper_medic	stormtrooper	storm_commando	storm_commando	dark_trooper
dark_trooper	dark_trooper	stormtrooper_bombardier	stormtrooper_medic	stormtrooper_novatrooper_elite	storm_commando	stormtrooper_novatrooper_elite
dark_trooper	dark_trooper	stormtrooper_sniper	stormtrooper_bombardier		stormtrooper_novatrooper_elite	stormtrooper_novatrooper_elite
elite_dark_trooper	dark_trooper	stormtrooper_novatrooper_cadet	stormtrooper_bombardier		stormtrooper_novatrooper_elite	stormtrooper_novatrooper_elite_commander
	dark_trooper		stormtrooper_sniper			
	elite_dark_trooper		stormtrooper_novatrooper_elite			
