scout_trooper_small	scout_trooper_medium	scout_trooper_large	scout_trooper_huge
s	s	s	s
scout_trooper	stormtrooper_squad_leader	stormtrooper_captain	imperial_army_captain
scout_trooper	scout_trooper	stormtrooper_squad_leader	stormtrooper_captain
stormtrooper	scout_trooper	scout_trooper	stormtrooper_squad_leader
stormtrooper	stormtrooper	scout_trooper	scout_trooper
stormtrooper	stormtrooper	stormtrooper	scout_trooper
stormtrooper_medic	stormtrooper	stormtrooper	stormtrooper
stormtrooper_dark_trooper_novatrooper	stormtrooper	stormtrooper	stormtrooper
	stormtrooper_medic	stormtrooper	stormtrooper
	stormtrooper_dark_trooper_novatrooper	stormtrooper_bombardier	stormtrooper_bombardier
		stormtrooper_medic	stormtrooper_bombardier
		stormtrooper_dark_trooper_novatrooper	stormtrooper_medic
			stormtrooper_dark_trooper_novatrooper
			stormtrooper_novatrooper
