//	L	Crafting_House				295	0	-281
//
// comments are only valid at the beginning of the line (cheezy parser)
// 
// one or more planet names
// one or more location names 
//
// names are not to have any spaces. underscores will be converted to spaces when this file is read
//
// if you have any problems, see asommers or jwatson
//
// File Format:
// 
// P	PlanetName PlanetDisplayName
//
//		L	LocationName	x	z
// ** OR **
//		L	LocationName	x	y	z
//		L	LocationName	x	z
//		L	LocationName	x	y	z
//


P	corellia	Corellia

	L	Coronet					-224	0	-4499
	L	Coronet_Starport			-137	0	-4723
	L	Doaba_Guerfel				3083	0	4989
	L	Doaba_Guerfel_Starport			3336    0	5525
	L	Kor_Vella 				-3366	0	3154
	L	Kor_Vella_Starport			-3139	0	2805
	L	Tyrena					-5479	0	-2668
	L	Tyrena_Starport				-5045	0	-2294
	L	Origin					0	0	0
	L	Bela_Vistal				6752	0	-5696					
	L	Vreni_Island				-5550	0	-6059
	L	Vreni_Island_Outdoor_Theater		-5420	0	-6247
	L	GCW_Static_Base				4772	0	-5233
	L	Agrilat_Swamps 				1388	0	3756
	L	Rebel_Hideout				-6530	0	5967
	L	Rogue_Corsec_Base			5224	0	1589
//	L	Agrilat_inner				915	4629
//	L	Beach_cliff				-578	-4476
//	L	Gold_Beaches				-1848	-4434
//	L	Mesas					416	800
//	L	More_Gold_Beaches			-520	-4490
//	L	Mountain_peak				-640	3200
//	L	Mountain_top				-716	3060
//	L	Mountains				0	2800
//	L	Near_island				-1632	-5504
//	L	PVE_Imp_BF_01				-1870	-1223
//	L	PVE_Rebel_BF_02				3785	-4037
//	L	PVP_BF_01				1319	4172
//	L	PVP_BF_02				263	4620
//	L	River_lands				2127	-84
//	L	Sample_farm				4500	3600
//	L	Small_lake				1101	-4394
//	L	Swamp,_center				500	4515
//	L	Swamp,_midway				183	4515
//	L	Swamp_edge				123	4246
//	L	The_cave				50	470
//	L	The_coast				-864	-3616

P	space_corellia Corellia_Space
		
	L	Corellia_Station			6434	-5396	-2651	
	L	Rebel_Space_Station			-1286	1458	1874
	L	Talus_Station				-6268	-5306	-3978
	L	Asteroid_Field				1247	1971	4092
	L	Space_Junk_Debris_Field			-3685	924	2599

P	dantooine	Dantooine
