planet	regionFile	minX	minZ	maxX	maxZ
s	s	f	f	f	f
corellia	datatables/region/region_corellia.iff	-8000	-8000	8000	8000
dantooine	datatables/region/region_dantooine.iff	-8000	-8000	8000	8000
dathomir	datatables/region/region_dathomir.iff	-8000	-8000	8000	8000
endor	datatables/region/region_endor.iff	-8000	-8000	8000	8000
lok	datatables/region/region_lok.iff	-8000	-8000	8000	8000
naboo	datatables/region/region_naboo.iff	-8000	-8000	8000	8000
rori	datatables/region/region_rori.iff	-8000	-8000	8000	8000
talus	datatables/region/region_talus.iff	-8000	-8000	8000	8000
tatooine	datatables/region/region_tatooine.iff	-8000	-8000	8000	8000
yavin4	datatables/region/region_yavin4.iff	-8000	-8000	8000	8000
tutorial	datatables/region/region_tutorial.iff	-8000	-8000	8000	8000
kashyyyk_dead_forest	datatables/region/region_kashyyyk_dead_forest.iff	-8000	-8000	8000	8000
kashyyyk_hunting	datatables/region/region_kashyyyk_hunting.iff	-8000	-8000	8000	8000
kashyyyk_main	datatables/region/region_kashyyyk_main.iff	-8000	-8000	8000	8000
kashyyyk_rryatt_trail	datatables/region/region_kashyyyk_rryatt_trail.iff	-8000	-8000	8000	8000
kashyyyk_south_dungeons	datatables/region/region_kashyyyk_south_dungeons.iff	-8000	-8000	8000	8000
mustafar	datatables/region/region_mustafar.iff	-8000	-8000	8000	8000
kashyyyk_pob_dungeons	datatables/region/region_kashyyyk_pob_dungeons.iff	-8000	-8000	8000	8000
adventure1	datatables/region/region_adventure1.iff	-8000	-8000	8000	8000
adventure2	datatables/region/region_adventure2.iff	-8000	-8000	8000	8000
dungeon1	datatables/region/region_dungeon1.iff	-8000	-8000	8000	8000
