componentType	schematics	flightPlan	rareItems	rewardItems
s	s	s	s	s
armor	item_reward_eng_elite_mk2_schematic	item_interdiction_data_disk_01	object/tangible/ship/components/engine/eng_t86_shooting_star.iff	object/tangible/ship/components/armor/arm_mission_reward_imperial_rss_special_durasteel.iff
booster	item_interface_scanner_schematic	item_interdiction_data_disk_02	object/tangible/ship/components/engine/eng_kuat_m24.iff	object/tangible/ship/components/armor/arm_mission_reward_imperial_sfs_light_military.iff
droid_interface	item_interdiction_terminal_schematic	item_interdiction_data_disk_03	object/tangible/ship/components/shield_generator/shd_shd_moncal_ionweb_prototype_b.iff	object/tangible/ship/components/armor/arm_mission_reward_neutral_kse_handcrafted.iff
engine	item_space_weapon_efficiency_booster	item_interdiction_data_disk_04	object/tangible/ship/components/shield_generator/shd_taim_torton.iff	object/tangible/ship/components/armor/arm_mission_reward_rebel_corellian_triplate.iff
reactor	item_space_shield_high_capacity_projector	item_interdiction_data_disk_05		object/tangible/ship/components/armor/arm_mission_reward_rebel_incom_ultralight.iff
shield				object/tangible/ship/components/booster/bst_mission_reward_imperial_rss_ion_booster.iff
weap_cap				object/tangible/ship/components/booster/bst_mission_reward_neutral_mandal_m_series.iff
weapon				object/tangible/ship/components/booster/bst_mission_reward_neutral_mandal_q_series.iff
				object/tangible/ship/components/booster/bst_mission_reward_rebel_novaldex_hypernova.iff
				object/tangible/ship/components/booster/bst_mission_reward_rebel_qualdex_halcyon.iff
				object/tangible/ship/components/droid_interface/ddi_mission_reward_imperial_sfs_military_grade.iff
				object/tangible/ship/components/droid_interface/ddi_mission_reward_neutral_sorosuub_w19.iff
				object/tangible/ship/components/droid_interface/ddi_mission_reward_rebel_moncal_d22.iff
				object/tangible/ship/components/droid_interface/ddi_mission_reward_rebel_novaldex_low_latency.iff
				object/tangible/ship/components/engine/eng_mission_reward_imperial_cygnus_megadrive.iff
				object/tangible/ship/components/engine/eng_mission_reward_neutral_mandal_inferno.iff
				object/tangible/ship/components/engine/eng_mission_reward_rebel_incom_military.iff
				object/tangible/ship/components/engine/eng_mission_reward_neutral_haor_chall_military.iff
				object/tangible/ship/components/reactor/rct_mission_reward_imperial_sds_high_output.iff
				object/tangible/ship/components/reactor/rct_mission_reward_neutral_subpro_military.iff
				object/tangible/ship/components/reactor/rct_mission_reward_rebel_slayn_hypervortex.iff
				object/tangible/ship/components/reactor/rct_mission_reward_imperial_rss_advanced_military.iff
				object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_cygnus_holoscreen.iff
				object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_rendili_dual_projector.iff
				object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_armek_plasma_web.iff
				object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_koensayr_ds23.iff
				object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_incom_k77.iff
				object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_taim_military_grade.iff
				object/tangible/ship/components/weapon/wpn_mission_reward_imperial_cygnus_starblaster.iff
				object/tangible/ship/components/weapon/wpn_mission_reward_imperial_sds_boltdriver.iff
				object/tangible/ship/components/weapon/wpn_mission_reward_neutral_borstel_disruptor.iff
				object/tangible/ship/components/weapon/wpn_mission_reward_neutral_hk_military_blaster.iff
				object/tangible/ship/components/weapon/wpn_mission_reward_neutral_mandal_light_blaster.iff
				object/tangible/ship/components/weapon/wpn_mission_reward_rebel_incom_tricannon.iff
				object/tangible/ship/components/weapon/wpn_mission_reward_rebel_taim_ion_driver.iff
