LEVEL	TIER_1_EXPERIENCE	TIER_2_EXPERIENCE	TIER_3_EXPERIENCE	TIER_4_EXPERIENCE	TIER_5_EXPERIENCE	TIER_6_EXPERIENCE
s	i	i	i	i	i	i
1	72	105	127	149	165	182
2	72	253	303	358	396	435
3	77	440	534	622	693	765
4	77	649	787	919	1023	1128
5	83	858	1040	1216	1353	1491
6	88	1089	1315	1546	1716	1887
7	88	1337	1617	1903	2112	2321
8	94	1612	1947	2288	2541	2794
9	94	1903	2305	2701	3003	3306
10	99	2217	2684	3146	3498	3850
11	105	2552	3086	3625	4026	4428
12	105	2882	3493	4098	4554	5011
13	110	3240	3922	4604	5115	5627
14	110	3614	4378	5137	5709	6281
15	116	4015	4857	5704	6336	6969
16	121	4433	5363	6298	6996	7695
17	121	4868	5896	6919	7689	8459
18	127	5330	6452	7574	8415	9257
19	127	5808	7035	8256	9174	10093
20	132	4318	5979	7640	9301	10962
21	138	4675	6474	8272	10071	11869
22	138	5049	6991	8932	10874	12815
23	143	5434	7524	9614	11704	13794
24	149	5836	8080	10324	12568	14812
25	149	6248	8652	11055	13459	15862
26	154	6677	9246	11814	14383	16951
27	160	7123	9862	12601	15340	18079
28	165	7579	10494	13409	16324	19239
29	171	8052	11149	14245	17342	20438
30	171	8553	11842	15131	18420	21709
31	176	9064	12551	16038	19525	23012
32	182	9598	13288	16979	20669	24360
33	187	10153	14058	17963	21868	25773
34	193	10725	14850	18975	23100	27225
35	193	11325	15681	20037	24393	28749
36	198	11941	16533	21126	25718	30311
37	204	12584	17424	22264	27104	31944
38	209	13244	18337	23430	28523	33616
39	215	13926	19283	24640	29997	35354
40	215	14630	20257	25883	31510	37136
41	220	15356	21263	27170	33077	38984
42	226	16115	22314	28512	34711	40909
43	231	16902	23403	29904	36405	42906
44	237	17716	24530	31345	38159	44974
45	237	18563	25702	32841	39980	47119
46	242	19432	26906	34381	41855	49330
47	248	20334	28155	35976	43797	51618
48	253	21263	29442	37620	45799	53977
49	259	22220	30767	39314	47861	56408
50	264	23210	32137	41063	49990	58916
51	270	24239	33561	42884	52206	61529
52	275	25295	35024	44754	54483	64213
53	281	26384	36531	46679	56826	66974
54	286	27511	38093	48675	59257	69839
55	292	28688	39721	50754	61787	72820
56	297	29887	41382	52877	64372	75867
57	303	31130	43104	55077	67051	79024
58	308	32417	44886	57354	69823	82291
59	314	33748	46728	59708	72688	85668
60	319	35123	48631	62139	75647	89155
61	325	36537	50589	64642	78694	92747
62	330	38011	52630	67249	81868	96487
63	336	39523	54725	69927	85129	100331
64	341	41096	56903	72710	88517	104324
65	347	42713	59142	75570	91999	108427
66	352	44385	61457	78529	95601	112673
67	358	46118	63855	81593	99330	117068
68	363	47905	66330	84755	103180	121605
69	369	49748	68882	88017	107151	126286
70	374	51651	71517	91383	111249	131115
71	380	53625	74250	94875	115500	136125
72	385	55655	77061	98467	119873	141279
73	391	57756	79970	102185	124399	146614
74	396	59934	82984	106035	129085	152136
75	402	62178	86092	110006	133920	157834
76	407	64493	89298	114103	138908	163713
77	418	66880	92604	118327	144051	169774
78	424	69355	96030	122705	149380	176055
79	429	71913	99572	127232	154891	182551
80	435	74547	103219	131890	160562	189233
81	440	77275	106997	136719	166441	196163
82	451	80097	110902	141708	172513	203319
83	457	82995	114917	146839	178761	210683
84	462	85998	119075	152152	185229	218306
85	468	89106	123376	157647	191917	226188
86	473	92307	127809	163312	198814	234317
87	484	95612	132385	169158	205931	242704
88	490	99028	137115	175203	213290	251378
89	495	102559	142005	181451	220897	260343
90	501	102559	142005	181451	220897	260343
