strItems	strRequiredItems
s	s
cash_loot/insect_cash_loot_41_50	
cash_loot/insect_cash_loot_41_50	
cash_loot/insect_cash_loot_41_50	
cash_loot/insect_cash_loot_41_50	
cash_loot/insect_cash_loot_41_50	
cash_loot/insect_cash_loot_41_50	
cash_loot/insect_cash_loot_41_50	
cash_loot/insect_cash_loot_41_50	
cash_loot/insect_cash_loot_41_50	
cash_loot/insect_cash_loot_41_50	
cash_loot/insect_cash_loot_41_50	
cash_loot/insect_cash_loot_41_50	
cash_loot/insect_cash_loot_41_50	
cash_loot/insect_cash_loot_41_50	
cash_loot/insect_cash_loot_41_50
cash_loot/insect_cash_loot_41_50
cash_loot/insect_cash_loot_41_50
cash_loot/insect_cash_loot_41_50
consumables/simple_consumables_41_50
consumables/simple_consumables_41_50
consumables/simple_consumables_41_50
weapons/ranged_41_50
weapons/melee_41_50
crafting_loot/weapon_components:wp_comp_41_50
