rancor_81_90	bull_rancor_81_90	rancor_monstrous_brute_81_90	enraged_rancor_81_90	enraged_bull_rancor_81_90
s	s	s	s	s
cash_loot/creature_cash_loot_81_90	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
cash_loot/creature_cash_loot_81_90	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
cash_loot/creature_cash_loot_81_90	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
cash_loot/creature_cash_loot_81_90	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
cash_loot/creature_cash_loot_81_90	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss
cash_loot/creature_cash_loot_81_90	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss
cash_loot/creature_cash_loot_81_90	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard
cash_loot/creature_cash_loot_81_90	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
cash_loot/creature_cash_loot_81_90	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
cash_loot/creature_cash_loot_81_90	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
cash_loot/creature_cash_loot_81_90	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
cash_loot/creature_cash_loot_81_90	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss
cash_loot/creature_cash_loot_81_90	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss
cash_loot/creature_cash_loot_81_90	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard
cash_loot/creature_cash_loot_81_90	crafting_loot/saber_crystals_medium:power_crystal	crafting_loot/saber_crystals_medium:power_crystal	crafting_loot/saber_crystals_medium:power_crystal	crafting_loot/saber_crystals_medium:power_crystal
cash_loot/creature_cash_loot_81_90	wearables/jedi_robes_high	wearables/jedi_robes_high	wearables/jedi_robes_high	wearables/jedi_robes_high
cash_loot/creature_cash_loot_81_90				
cash_loot/creature_cash_loot_81_90				
consumables/simple_consumables_81_90				
consumables/simple_consumables_81_90				
consumables/simple_consumables_81_90				
weapons/ranged_81_90				
weapons/melee_81_90				
