strItems	strRequiredItems
s	s
cash_loot/creature_cash_loot_31_40	
cash_loot/creature_cash_loot_31_40	
cash_loot/creature_cash_loot_31_40	
cash_loot/creature_cash_loot_31_40	
cash_loot/creature_cash_loot_31_40	
cash_loot/creature_cash_loot_31_40	
cash_loot/creature_cash_loot_31_40	
cash_loot/creature_cash_loot_31_40	
cash_loot/creature_cash_loot_31_40	
cash_loot/creature_cash_loot_31_40	
cash_loot/creature_cash_loot_31_40	
cash_loot/creature_cash_loot_31_40	
cash_loot/creature_cash_loot_31_40	
cash_loot/creature_cash_loot_31_40	
cash_loot/creature_cash_loot_31_40
cash_loot/creature_cash_loot_31_40
cash_loot/creature_cash_loot_31_40
cash_loot/creature_cash_loot_31_40
consumables/simple_consumables_31_40
consumables/simple_consumables_31_40
consumables/simple_consumables_31_40
weapons/ranged_31_40
crafting_loot/weapon_components:wp_comp_31_40
