strItems	strRequiredItems
s	s
cash_loot/creature_cash_loot_81_90	
cash_loot/creature_cash_loot_81_90	
cash_loot/creature_cash_loot_81_90	
cash_loot/creature_cash_loot_81_90	
cash_loot/creature_cash_loot_81_90	
cash_loot/creature_cash_loot_81_90	
cash_loot/creature_cash_loot_81_90	
cash_loot/creature_cash_loot_81_90	
cash_loot/creature_cash_loot_81_90	
cash_loot/creature_cash_loot_81_90	
cash_loot/creature_cash_loot_81_90	
cash_loot/creature_cash_loot_81_90	
cash_loot/creature_cash_loot_81_90	
cash_loot/creature_cash_loot_81_90	
cash_loot/creature_cash_loot_81_90
cash_loot/creature_cash_loot_81_90
cash_loot/creature_cash_loot_81_90
cash_loot/creature_cash_loot_81_90
consumables/simple_consumables_81_90
consumables/simple_consumables_81_90
consumables/simple_consumables_81_90
weapons/ranged_81_90
crafting_loot/weapon_components:wp_comp_81_90
