strItems	strRequiredItems
s	s
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30
cash_loot/creature_cash_loot_21_30
cash_loot/creature_cash_loot_21_30
cash_loot/creature_cash_loot_21_30
consumables/simple_consumables_21_30
consumables/simple_consumables_21_30
consumables/simple_consumables_21_30
weapons/ranged_21_30
weapons/melee_21_30
crafting_loot/weapon_components:wp_comp_21_30
