strItems	strRequiredItems
s	s
cash_loot/insect_cash_loot_11_20	
cash_loot/insect_cash_loot_11_20	
cash_loot/insect_cash_loot_11_20	
cash_loot/insect_cash_loot_11_20	
cash_loot/insect_cash_loot_11_20	
cash_loot/insect_cash_loot_11_20	
cash_loot/insect_cash_loot_11_20	
cash_loot/insect_cash_loot_11_20	
cash_loot/insect_cash_loot_11_20	
cash_loot/insect_cash_loot_11_20	
cash_loot/insect_cash_loot_11_20	
cash_loot/insect_cash_loot_11_20	
cash_loot/insect_cash_loot_11_20	
cash_loot/insect_cash_loot_11_20	
cash_loot/insect_cash_loot_11_20
cash_loot/insect_cash_loot_11_20
cash_loot/insect_cash_loot_11_20
cash_loot/insect_cash_loot_11_20
consumables/simple_consumables_11_20
consumables/simple_consumables_11_20
consumables/simple_consumables_11_20
weapons/ranged_11_20
weapons/melee_11_20
crafting_loot/weapon_components:wp_comp_11_20
