strItems	strRequiredItems
s	s
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
wearables/dynamic_clothing_standard	
wearables/dynamic_clothing_standard	
wearables/dynamic_armor_standard	
wearables/dynamic_armor_standard	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30	
cash_loot/creature_cash_loot_21_30
cash_loot/creature_cash_loot_21_30
wearables/dynamic_clothing_standard
wearables/dynamic_clothing_standard
wearables/dynamic_armor_standard
wearables/dynamic_armor_standard
wearables/dynamic_armor_boss
wearables/dynamic_clothing_boss
