strItems	strRequiredItems
s	s
cash_loot/creature_cash_loot_41_50	
cash_loot/creature_cash_loot_41_50	
cash_loot/creature_cash_loot_41_50	
cash_loot/creature_cash_loot_41_50	
cash_loot/creature_cash_loot_41_50	
cash_loot/creature_cash_loot_41_50	
cash_loot/creature_cash_loot_41_50	
cash_loot/creature_cash_loot_41_50	
cash_loot/creature_cash_loot_41_50	
cash_loot/creature_cash_loot_41_50	
cash_loot/creature_cash_loot_41_50	
cash_loot/creature_cash_loot_41_50	
cash_loot/creature_cash_loot_41_50	
cash_loot/creature_cash_loot_41_50	
cash_loot/creature_cash_loot_41_50
cash_loot/creature_cash_loot_41_50
cash_loot/creature_cash_loot_41_50
cash_loot/creature_cash_loot_41_50
consumables/simple_consumables_41_50
consumables/simple_consumables_41_50
consumables/simple_consumables_41_50
weapons/ranged_41_50
weapons/melee_41_50
