strItems	strRequiredItems
s	s
cash_loot/creature_cash_loot_61_70	
cash_loot/creature_cash_loot_61_70	
cash_loot/creature_cash_loot_61_70	
cash_loot/creature_cash_loot_61_70	
cash_loot/creature_cash_loot_61_70	
cash_loot/creature_cash_loot_61_70	
cash_loot/creature_cash_loot_61_70	
cash_loot/creature_cash_loot_61_70	
cash_loot/creature_cash_loot_61_70	
cash_loot/creature_cash_loot_61_70	
cash_loot/creature_cash_loot_61_70	
cash_loot/creature_cash_loot_61_70	
cash_loot/creature_cash_loot_61_70	
cash_loot/creature_cash_loot_61_70	
cash_loot/creature_cash_loot_61_70
cash_loot/creature_cash_loot_61_70
cash_loot/creature_cash_loot_61_70
cash_loot/creature_cash_loot_61_70
consumables/simple_consumables_61_70
consumables/simple_consumables_61_70
consumables/simple_consumables_61_70
weapons/ranged_61_70
weapons/melee_61_70
