strItems	strRequiredItems
s	s
cash_loot/insect_cash_loot_71_80	
cash_loot/insect_cash_loot_71_80	
cash_loot/insect_cash_loot_71_80	
cash_loot/insect_cash_loot_71_80	
cash_loot/insect_cash_loot_71_80	
cash_loot/insect_cash_loot_71_80	
cash_loot/insect_cash_loot_71_80	
cash_loot/insect_cash_loot_71_80	
cash_loot/insect_cash_loot_71_80	
cash_loot/insect_cash_loot_71_80	
cash_loot/insect_cash_loot_71_80	
cash_loot/insect_cash_loot_71_80	
cash_loot/insect_cash_loot_71_80	
cash_loot/insect_cash_loot_71_80	
cash_loot/insect_cash_loot_71_80
cash_loot/insect_cash_loot_71_80
cash_loot/insect_cash_loot_71_80
cash_loot/insect_cash_loot_71_80
consumables/simple_consumables_71_80
consumables/simple_consumables_71_80
consumables/simple_consumables_71_80
weapons/ranged_71_80
weapons/melee_71_80
crafting_loot/weapon_components:wp_comp_71_80
