ServerTemplate	SharedTemplate	Likelihood
s	s	f
object/static/space/asteroid/asteroid_small_01.iff	object/static/space/asteroid/shared_asteroid_small_01.iff	1
object/static/space/asteroid/asteroid_small_02.iff	object/static/space/asteroid/shared_asteroid_small_02.iff	1
object/static/structure/general/_lucky_despot_debris_aft_hull.iff	object/static/structure/general/shared_lucky_despot_debris_aft_hull.iff	0
object/static/structure/general/_lucky_despot_debris_forward_hull.iff	object/static/structure/general/shared_lucky_despot_debris_forward_hull.iff	0
object/static/structure/general/_lucky_despot_debris_lg_engine_s01.iff	object/static/structure/general/shared_lucky_despot_debris_lg_engine_s01.iff	0
object/static/structure/general/_lucky_despot_debris_lg_engine_s02.iff	object/static/structure/general/shared_lucky_despot_debris_lg_engine_s02.iff	0
object/static/structure/general/_lucky_despot_debris_md_engine.iff	object/static/structure/general/shared_lucky_despot_debris_md_engine.iff	0
object/static/structure/general/_lucky_despot_debris_nose_cone.iff	object/static/structure/general/shared_lucky_despot_debris_nose_cone.iff	0
object/static/structure/general/_lucky_despot_debris_sm_engine.iff	object/static/structure/general/shared_lucky_despot_debris_sm_engine.iff	0
object/static/structure/general/_prp_engine.iff	object/static/structure/general/shared_prp_engine.iff	0
object/static/structure/general/_prp_engine_component.iff	object/static/structure/general/shared_prp_engine_component.iff	0
object/static/structure/general/_prp_junk_s1.iff	object/static/structure/general/shared_prp_junk_s1.iff	0
object/static/structure/general/_prp_junk_s2.iff	object/static/structure/general/shared_prp_junk_s2.iff	0
object/static/structure/general/_prp_junk_s3.iff	object/static/structure/general/shared_prp_junk_s3.iff	0
object/static/structure/general/_prp_junk_s4.iff	object/static/structure/general/shared_prp_junk_s4.iff	0
object/static/structure/general/_prp_junk_s5.iff	object/static/structure/general/shared_prp_junk_s5.iff	0
object/static/structure/general/_prp_junk_s6.iff	object/static/structure/general/shared_prp_junk_s6.iff	0
object/static/structure/general/_prp_junk_s7.iff	object/static/structure/general/shared_prp_junk_s7.iff	0
object/static/structure/general/_prp_junk_s8.iff	object/static/structure/general/shared_prp_junk_s8.iff	0
