ServerTemplate	SharedTemplate	Likelihood
s	s	f
object/static/space/asteroid/asteroid_iron_small_01.iff	object/static/space/asteroid/shared_asteroid_iron_small_01.iff	2
object/static/space/asteroid/asteroid_iron_medium_01.iff	object/static/space/asteroid/shared_asteroid_iron_medium_01.iff	2
object/static/space/asteroid/asteroid_iron_large_01.iff	object/static/space/asteroid/shared_asteroid_iron_large_01.iff	2
object/static/space/debris/xwing_debris_a.iff	object/static/space/debris/shared_xwing_debris_a.iff	4
object/static/space/debris/xwing_debris_g.iff	object/static/space/debris/shared_xwing_debris_g.iff	4
object/static/space/debris/xwing_debris_e.iff	object/static/space/debris/shared_xwing_debris_e.iff	4
object/static/space/debris/tie_fighter_debris_a.iff	object/static/space/debris/shared_tie_fighter_debris_a.iff	4
object/static/space/debris/tie_fighter_debris_c.iff	object/static/space/debris/shared_tie_fighter_debris_c.iff	4
object/static/space/debris/xwing_debris_b.iff	object/static/space/debris/shared_xwing_debris_b.iff	4
object/static/space/debris/xwing_debris_c.iff	object/static/space/debris/shared_xwing_debris_c.iff	4
object/static/space/debris/xwing_debris_d.iff	object/static/space/debris/shared_xwing_debris_d.iff	4
object/static/space/debris/xwing_debris_e.iff	object/static/space/debris/shared_xwing_debris_e.iff	3
object/static/space/debris/xwing_debris_f.iff	object/static/space/debris/shared_xwing_debris_f.iff	3
object/static/space/debris/tie_fighter_debris_b.iff	object/static/space/debris/shared_tie_fighter_debris_b.iff	3
object/static/space/debris/tie_fighter_debris_d.iff	object/static/space/debris/shared_tie_fighter_debris_d.iff	3
object/static/space/debris/tie_fighter_debris_e.iff	object/static/space/debris/shared_tie_fighter_debris_e.iff	4
object/static/space/debris/tie_fighter_debris_f.iff	object/static/space/debris/shared_tie_fighter_debris_f.iff	4
