Appearance	Likelihood	ScaleMin	ScaleMax	SpawnRange	DeleteRange	HitEffect
s	f	f	f	f	f	s
appearance/xwing_debris_a.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/xwing_debris_b.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/xwing_debris_c.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/xwing_debris_d.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/xwing_debris_e.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/xwing_debris_f.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/xwing_debris_g.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_f.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_e.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_d.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_c.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_b.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_a.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/dsdebris_chunksmalla.apt	2	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/dsdebris_conduit.apt	2	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/dsdebris_tube.apt	2	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/dsdebris_tubesmall.apt	2	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/poi_yavn_death_star_wreckage_s01.apt	2	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/poi_yavn_death_star_wreckage_s02.apt	2	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/thm_prp_junk_s5.apt	2	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/thm_prp_junk_s6.apt	2	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
