Appearance	Likelihood	ScaleMin	ScaleMax	SpawnRange	DeleteRange	HitEffect
s	f	f	f	f	f	s
appearance/tie_fighter_debris_f.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_e.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_d.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_c.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_b.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_a.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/asteroid_iron_radial_s01.apt	2	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/asteroid_iron_radial_s01.apt	2	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/asteroid_iron_radial_s01.apt	2	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
