ServerTemplate	SharedTemplate	Likelihood
s	s	f
object/static/space/debris/xwing_debris_a.iff	object/static/space/debris/shared_xwing_debris_a.iff	1
object/static/space/debris/xwing_debris_b.iff	object/static/space/debris/shared_xwing_debris_b.iff	1
object/static/space/debris/xwing_debris_c.iff	object/static/space/debris/shared_xwing_debris_c.iff	1
object/static/space/debris/xwing_debris_d.iff	object/static/space/debris/shared_xwing_debris_d.iff	1
object/static/space/debris/xwing_debris_e.iff	object/static/space/debris/shared_xwing_debris_e.iff	1
object/static/space/debris/xwing_debris_f.iff	object/static/space/debris/shared_xwing_debris_f.iff	1
object/static/space/debris/xwing_debris_g.iff	object/static/space/debris/shared_xwing_debris_g.iff	1
object/static/space/debris/tie_fighter_debris_a.iff	object/static/space/debris/shared_tie_fighter_debris_a.iff	1
object/static/space/debris/tie_fighter_debris_b.iff	object/static/space/debris/shared_tie_fighter_debris_b.iff	1
object/static/space/debris/tie_fighter_debris_c.iff	object/static/space/debris/shared_tie_fighter_debris_c.iff	1
object/static/space/debris/tie_fighter_debris_d.iff	object/static/space/debris/shared_tie_fighter_debris_d.iff	1
object/static/space/debris/tie_fighter_debris_e.iff	object/static/space/debris/shared_tie_fighter_debris_e.iff	1
object/static/space/debris/tie_fighter_debris_f.iff	object/static/space/debris/shared_tie_fighter_debris_f.iff	1
object/static/space/debris/tie_fighter_debris_g.iff	object/static/space/debris/shared_tie_fighter_debris_f.iff	1
object/static/space/debris/death_star_debris_a.iff	object/static/space/debris/shared_death_star_debris_a.iff	5
object/static/space/debris/death_star_debris_b.iff	object/static/space/debris/shared_death_star_debris_b.iff	5
object/static/space/debris/death_star_debris_c.iff	object/static/space/debris/shared_death_star_debris_c.iff	5
object/static/space/debris/death_star_debris_d.iff	object/static/space/debris/shared_death_star_debris_d.iff	10
object/static/space/debris/death_star_debris_e.iff	object/static/space/debris/shared_death_star_debris_e.iff	5
object/static/space/debris/death_star_debris_f.iff	object/static/space/debris/shared_death_star_debris_f.iff	5
object/static/space/debris/death_star_debris_g.iff	object/static/space/debris/shared_death_star_debris_g.iff	5
object/static/space/debris/death_star_debris_h.iff	object/static/space/debris/shared_death_star_debris_h.iff	5
object/static/space/debris/death_star_debris_i.iff	object/static/space/debris/shared_death_star_debris_i.iff	5
