Appearance	Likelihood	ScaleMin	ScaleMax	SpawnRange	DeleteRange	HitEffect
s	f	f	f	f	f	s
appearance/xwing_debris_a.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/xwing_debris_b.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/xwing_debris_c.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/xwing_debris_d.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/xwing_debris_e.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/xwing_debris_f.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/xwing_debris_g.apt	1	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_f.apt	5	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_e.apt	5	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_d.apt	5	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_c.apt	5	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_b.apt	5	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
appearance/tie_fighter_debris_a.apt	5	1	1	100	100	clienteffect/combat_ship_hit_shield.cef
