generic_pirate	civilian	imperial_officer	imperial_pilot	imperial_ace	rebel_officer	rebel_pilot	spacestation	navigation_droid	blacksun	corsair	hutt	nym	trade_fed	valarian	aynat_pirate	witchblood_pirate	rebel_commando	imperial_inquisitor	finn_darktrin	nebula_assassin	imperial_experimental_pilot	bothan_spynet_pilots	deathstar_debris_cultist	deathstar_debris_leader	coynite_pilot	coynite_officer	velocity_pilots	tiberus_anderlock	onli_shien	neja_bertolo	hiddendagger_pilots	rancor_clan_pilots	hortrix_steelarm	poi_tatooine_garett	poi_tatooine_alerris	poi_tatooine_kelen	wookiee_pilot	trandoshan_pilot	rodian_pilot	chiss_poacher	gotal_bandit	wookiee_pirate	ghrag_merc	rian_ry	ghrag_traitor	kredka_sul	vosc_traaer	faydo_sha	red_tie_rebel	clone_relics_imarra	gotal_reborn	gotal_warlord	ghrag_assassin	ghrag_avenger	ghrag_persuader	ghrag_specialist	cpg_ace	cpg_veteran	blackscale_hsskas	blackscale_khrask	blackscale_cyssc	blackscale_scaleguard	blackscale_pilot	cal_handro_syren5	ter_doac_vaine
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
object/mobile/space_comm_blacksun_01.iff	object/mobile/space_comm_rebel_transport_01.iff	object/mobile/space_comm_imperial_officer_01.iff	object/mobile/space_comm_imperial_tiefighter_01.iff	object/mobile/space_comm_imperial_ace_01.iff	object/mobile/space_comm_rebel_xwing_01.iff	object/mobile/space_comm_rebel_xwing_01.iff	object/mobile/space_comm_rebel_transport_01.iff	object/mobile/tt8l.iff	object/mobile/space_comm_blacksun_01.iff	object/mobile/space_comm_blacksun_01.iff	object/mobile/space_comm_hutt_01.iff	object/mobile/space_comm_blacksun_01.iff	object/mobile/space_comm_hutt_01.iff	object/mobile/space_comm_blacksun_01.iff	object/mobile/space_comm_aynat_ace_01.iff	object/mobile/space_comm_witchblood_ace_01.iff	object/mobile/dressed_rebel_commando_human_female_01.iff	object/mobile/dressed_imperial_inquisitor_human_male_01.iff	object/mobile/dressed_marooned_pirate_first_mate_hum_m.iff	object/mobile/space_comm_blacksun_01.iff	object/mobile/space_imperial_experimental_pilot.iff	object/mobile/dressed_bth_spynet_pilot_m_01.iff	object/mobile/dressed_deathstar_debris_cultist_hum_m_01.iff	object/mobile/dressed_deathstar_debris_leader_rod_m_01.iff	object/mobile/dressed_coynite_pilot_hum_m_01.iff	object/mobile/dressed_coynite_off_hum_m_01.iff	object/mobile/dressed_velocity_bith_m_01.iff	object/mobile/dressed_tiberus_anderlock.iff	object/mobile/dressed_onli_shien.iff	object/mobile/dressed_neja_bertolo.iff	object/mobile/dressed_hiddendagger_pilot_f_01.iff	object/mobile/space_comm_rancorclan_hum_01.iff	object/mobile/space_comm_quest_hortrix_steelarm_chiss_m.iff	object/mobile/dressed_poi_tatooine_garett.iff	object/mobile/dressed_poi_tatooine_alerris.iff	object/mobile/dressed_poi_tatooine_kelen.iff	object/mobile/space_comm_wke_resist_01.iff	object/mobile/space_comm_trn_slaver_01.iff	object/mobile/space_comm_rod_protector_01.iff	object/mobile/space_comm_chiss_poacher_01.iff	object/mobile/space_comm_gotal_bandit_01.iff	object/mobile/space_comm_wke_pirate_01.iff	object/mobile/space_comm_ghrag_merc_01.iff	object/mobile/space_comm_rian_ry.iff	object/mobile/space_comm_ep3_ghrag_traitor.iff	object/mobile/space_comm_ep3_kredka_sul.iff	object/mobile/space_comm_ep3_vosc_traaer.iff	object/mobile/space_comm_faydo_sha.iff	object/mobile/space_comm_ep3_red_tie_rebel.iff	object/mobile/ep3/ep3_clone_relics_wookie_prisoner_03.iff	object/mobile/space_comm_ep3_gotal_reborn_01.iff	object/mobile/space_comm_gotal_warlord_01.iff	object/mobile/space_comm_ghrag_assassin_01.iff	object/mobile/space_comm_ghrag_avenger_01.iff	object/mobile/space_comm_ghrag_persuader_01.iff	object/mobile/space_comm_ghrag_specialist_01.iff	object/mobile/space_comm_ep3_cpg_ace_01.iff	object/mobile/space_comm_ep3_cpg_veteran_01.iff	object/mobile/ep3/ep3_broodmaster_hsskas.iff	object/mobile/ep3/ep3_commander_khrask.iff	object/mobile/ep3/ep3_lord_cyssc.iff	object/mobile/ep3/ep3_blackscale_scaleguard.iff	object/mobile/ep3/ep3_blackscale_pilot_s01.iff	object/mobile/dressed_cal_handro.iff	object/mobile/dressed_dark_jedi_elder_male_human_04.iff
object/mobile/space_comm_blacksun_02.iff	object/mobile/space_comm_rebel_transport_02.iff	object/mobile/space_comm_imperial_officer_02.iff			object/mobile/space_comm_rebel_xwing_02.iff	object/mobile/space_comm_rebel_xwing_02.iff	object/mobile/space_comm_rebel_transport_02.iff		object/mobile/space_comm_blacksun_02.iff	object/mobile/space_comm_blacksun_02.iff	object/mobile/space_comm_hutt_02.iff	object/mobile/space_comm_blacksun_02.iff	object/mobile/space_comm_hutt_02.iff	object/mobile/space_comm_blacksun_02.iff	object/mobile/space_comm_aynat_ace_02.iff	object/mobile/space_comm_witchblood_ace_02.iff	object/mobile/dressed_rebel_commando_human_male_01.iff	object/mobile/space_imperial_tier4_naboo_inquisitor.iff		object/mobile/space_comm_blacksun_02.iff		object/mobile/dressed_bth_spynet_pilot_m_02.iff	object/mobile/dressed_deathstar_debris_cultist_hum_m_02.iff		object/mobile/dressed_coynite_pilot_hum_m_02.iff	object/mobile/dressed_coynite_off_hum_m_02.iff	object/mobile/dressed_velocity_chiss_m_01.iff				object/mobile/dressed_hiddendagger_pilot_m_01.iff	object/mobile/space_comm_rancorclan_hum_02.iff					object/mobile/space_comm_wke_resist_02.iff	object/mobile/space_comm_trn_slaver_02.iff	object/mobile/space_comm_rod_protector_02.iff	object/mobile/space_comm_chiss_poacher_02.iff	object/mobile/space_comm_gotal_bandit_02.iff	object/mobile/space_comm_wke_pirate_02.iff	object/mobile/space_comm_ghrag_merc_02.iff								object/mobile/space_comm_ep3_gotal_reborn_02.iff	object/mobile/space_comm_gotal_warlord_02.iff	object/mobile/space_comm_ghrag_assassin_02.iff	object/mobile/space_comm_ghrag_avenger_02.iff	object/mobile/space_comm_ghrag_persuader_02.iff	object/mobile/space_comm_ghrag_specialist_02.iff	object/mobile/space_comm_ep3_cpg_ace_02.iff	object/mobile/space_comm_ep3_cpg_veteran_02.iff					object/mobile/ep3/ep3_blackscale_pilot_s02.iff		
object/mobile/space_comm_blacksun_03.iff	object/mobile/space_comm_rebel_transport_03.iff				object/mobile/space_comm_rebel_xwing_03.iff	object/mobile/space_comm_rebel_xwing_03.iff	object/mobile/space_comm_rebel_transport_03.iff		object/mobile/space_comm_blacksun_03.iff	object/mobile/space_comm_blacksun_03.iff	object/mobile/space_comm_hutt_03.iff	object/mobile/space_comm_blacksun_03.iff	object/mobile/space_comm_hutt_03.iff	object/mobile/space_comm_blacksun_03.iff	object/mobile/space_comm_aynat_ace_03.iff	object/mobile/space_comm_witchblood_ace_03.iff	object/mobile/dressed_rebel_commando_moncal_male_01.iff			object/mobile/space_comm_blacksun_03.iff		object/mobile/dressed_bth_spynet_pilot_m_03.iff	object/mobile/dressed_deathstar_debris_cultist_mon_m_01.iff		object/mobile/dressed_coynite_pilot_hum_m_03.iff		object/mobile/dressed_velocity_gran_m_01.iff					object/mobile/space_comm_rancorclan_hum_03.iff					object/mobile/space_comm_wke_resist_03.iff	object/mobile/space_comm_trn_slaver_03.iff	object/mobile/space_comm_rod_protector_03.iff	object/mobile/space_comm_chiss_poacher_03.iff	object/mobile/space_comm_gotal_bandit_03.iff	object/mobile/space_comm_wke_pirate_03.iff	object/mobile/space_comm_ghrag_merc_03.iff								object/mobile/space_comm_ep3_gotal_reborn_03.iff	object/mobile/space_comm_gotal_warlord_03.iff					object/mobile/space_comm_ep3_cpg_ace_03.iff	object/mobile/space_comm_ep3_cpg_veteran_03.iff					object/mobile/ep3/ep3_blackscale_pilot_s03.iff		
object/mobile/space_comm_hutt_01.iff	object/mobile/space_comm_rebel_transport_04.iff				object/mobile/space_comm_rebel_xwing_04.iff	object/mobile/space_comm_rebel_xwing_04.iff	object/mobile/space_comm_rebel_transport_04.iff					object/mobile/space_comm_hutt_01.iff			object/mobile/space_comm_aynat_ace_04.iff	object/mobile/space_comm_witchblood_ace_04.iff	object/mobile/dressed_rebel_commando_rodian_male_01.iff			object/mobile/space_comm_hutt_01.iff		object/mobile/dressed_bth_spynet_pilot_f_01.iff	object/mobile/dressed_deathstar_debris_cultist_rod_f_01.iff		object/mobile/dressed_coynite_pilot_hum_m_04.iff		object/mobile/dressed_velocity_hum_f_01.iff					object/mobile/space_comm_rancorclan_hum_04.iff					object/mobile/space_comm_wke_resist_04.iff	object/mobile/space_comm_trn_slaver_04.iff	object/mobile/space_comm_rod_protector_04.iff	object/mobile/space_comm_chiss_poacher_04.iff	object/mobile/space_comm_gotal_bandit_04.iff	object/mobile/space_comm_wke_pirate_04.iff	object/mobile/space_comm_ghrag_merc_04.iff								object/mobile/space_comm_ep3_gotal_reborn_04.iff	object/mobile/space_comm_gotal_warlord_04.iff					object/mobile/space_comm_ep3_cpg_ace_04.iff	object/mobile/space_comm_ep3_cpg_veteran_04.iff							
object/mobile/space_comm_hutt_02.iff	object/mobile/space_comm_rebel_transport_05.iff				object/mobile/space_comm_rebel_xwing_05.iff	object/mobile/space_comm_rebel_xwing_05.iff	object/mobile/space_comm_rebel_transport_05.iff					object/mobile/space_comm_hutt_02.iff					object/mobile/dressed_rebel_commando_zabrak_female_01.iff			object/mobile/space_comm_hutt_02.iff					object/mobile/dressed_coynite_pilot_hum_m_05.iff		object/mobile/dressed_velocity_quar_m_01.iff													object/mobile/space_comm_chiss_poacher_05.iff	object/mobile/space_comm_gotal_bandit_05.iff																								
object/mobile/space_comm_hutt_03.iff	object/mobile/space_comm_rebel_transport_06.iff				object/mobile/space_comm_rebel_xwing_06.iff	object/mobile/space_comm_rebel_xwing_06.iff	object/mobile/space_comm_rebel_transport_06.iff					object/mobile/space_comm_hutt_03.iff					object/mobile/dressed_rebel_commando_twilek_female_01.iff			object/mobile/space_comm_hutt_03.iff							object/mobile/dressed_velocity_trn_m_01.iff													object/mobile/space_comm_chiss_poacher_06.iff	object/mobile/space_comm_gotal_bandit_06.iff																								
	object/mobile/space_comm_civilian_01.iff						object/mobile/c_3po.iff																																																										
	object/mobile/space_comm_civilian_02.iff																																																																
	object/mobile/space_comm_civilian_03.iff																																																																
