Object Template Name	Male Human	Female Human	Male Rodian	Female Rodian	Male MonCal	Female MonCal	Male Wookiee	Female Wookiee	Male Twi'lek	Female Twi'lek	Male Trandoshan	Female Trandoshan	Male Zabrak	Female Zabrak	Male Bothan	Female Bothan	Male Ithorian	Female Ithorian	Male Sullustan	Female Sullustan
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
shared_aakuan_belt	appearance/belt_s05_m.sat	appearance/belt_s05_f.sat	:default	:default	:default	:default	appearance/belt_s05_wke_m.sat	appearance/belt_s05_wke_f.sat	:default	:default	:default	:default	:default	:default	:default	:default	:hide	:hide	:default	:default
shared_aakuan_ring	appearance/ring_s01_m.apt	appearance/ring_s01_f.apt	:default	:default	:default	:default	:default	:default	:default	:default	:default	:default	:default	:default	:default	:default	:default	:default	:default	:default
shared_aakuan_robe	appearance/robe_s05_h0_m.sat	appearance/robe_s05_h0_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_aakuan_shirt	appearance/shirt_s03_m.sat	appearance/shirt_s03_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_anakin_helmet	appearance/hat_s04_m.sat	appearance/hat_s04_f.sat	appearance/hat_s04_rod_m.sat	appearance/hat_s04_rod_f.sat	appearance/hat_s04_mon_m.sat	appearance/hat_s04_mon_f.sat	:block	:block	:block	:block	appearance/hat_s04_trn_m.sat	appearance/hat_s04_trn_f.sat	:default	:default	appearance/hat_s04_bth_m.sat	appearance/hat_s04_bth_f.sat	:block	:block	:block	:block
shared_apron_porcellus	:block	:block	:block	:block	:block	:block	:block	:block	:block	:block	:block	:block	:block	:block	:block	:block	:block	:block	:block	:block
shared_apron_s01	appearance/apron_s01_m.sat	appearance/apron_s01_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_apron_s01_quest	appearance/apron_s01_m.sat	appearance/apron_s01_f.sat	:default	:default	:default	:default	appearance/apron_chef_jacket_s01_wke_m.sat	appearance/apron_chef_jacket_s01_wke_f.sat	:default	:default	:default	:default	:default	:default	:default	:default	appearance/apron_chef_jacket_s01_ith_m.sat	appearance/apron_chef_jacket_s01_ith_f.sat	:default	:default
shared_apron_chef_s01	appearance/apron_chef_jacket_s01_m.sat	appearance/apron_chef_jacket_s01_f.sat	:default	:default	:default	:default	appearance/apron_chef_jacket_s01_wke_m.sat	appearance/apron_chef_jacket_s01_wke_f.sat	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bone_s01_bicep_l	appearance/armor_bone_s01_bicep_l_m.sat	appearance/armor_bone_s01_bicep_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bone_s01_bicep_r	appearance/armor_bone_s01_bicep_r_m.sat	appearance/armor_bone_s01_bicep_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bone_s01_boots	appearance/armor_bone_s01_boots_m.sat	appearance/armor_bone_s01_boots_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bone_s01_bracer_l	appearance/armor_bone_s01_bracer_l_m.sat	appearance/armor_bone_s01_bracer_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
