droidSpecies	strComments	usesDroidOrFlightComputer
s	c	s
player_arc170.iff		astromech
player_awing.iff		flight_computer
player_basic_hutt_light.iff		flight_computer
player_basic_tiefighter.iff		flight_computer
player_basic_z95.iff		astromech
player_blacksun_heavy_s01.iff		flight_computer
player_blacksun_heavy_s02.iff		flight_computer
player_blacksun_heavy_s03.iff		flight_computer
player_blacksun_heavy_s04.iff		flight_computer
player_blacksun_light_s01.iff		flight_computer
player_blacksun_light_s02.iff		flight_computer
player_blacksun_light_s03.iff		flight_computer
player_blacksun_light_s04.iff		flight_computer
player_blacksun_medium_s01.iff		flight_computer
player_blacksun_medium_s02.iff		flight_computer
player_blacksun_medium_s03.iff		flight_computer
player_blacksun_medium_s04.iff		flight_computer
player_bwing.iff		flight_computer
player_corvette.iff		flight_computer
player_decimator.iff		flight_computer
player_firespray.iff		flight_computer
player_grievous_starship.iff		flight_computer
player_gunship_imperial.iff		flight_computer
player_gunship_neutral.iff		flight_computer
player_gunship_rebel.iff		flight_computer
player_hutt_heavy_s01.iff		flight_computer
player_hutt_heavy_s02.iff		flight_computer
player_hutt_light_s01.iff		flight_computer
player_hutt_light_s02.iff		flight_computer
player_hutt_medium_s01.iff		flight_computer
player_hutt_medium_s02.iff		flight_computer
player_jedi_starfighter.iff		astromech
player_naboo_n1.iff		astromech
player_sorosuub_space_yacht.iff		astromech
player_tie_in.iff		flight_computer
player_tie_light_duty.iff		flight_computer
player_tieadvanced.iff		flight_computer
player_tieaggressor.iff		flight_computer
player_tiebomber.iff		flight_computer
player_tiefighter.iff		flight_computer
player_tieinterceptor.iff		flight_computer
player_tieoppressor.iff		flight_computer
player_vwing.iff		astromech
player_xwing.iff		astromech
player_y8_mining_ship.iff		flight_computer
player_ykl37r.iff		flight_computer
player_yt1300.iff		flight_computer
player_yt1300_decorated_01.iff		flight_computer
player_ywing.iff		astromech
player_ywing_longprobe.iff		astromech
player_z95.iff		astromech
player_hutt_turret_ship.iff		flight_computer
player_advanced_xwing.iff		astromech
player_blacksun_vaksai.iff		flight_computer
player_tieinterceptor_imperial_guard.iff		flight_computer
player_yt2400.iff		flight_computer
