strCommandName	strComments	strStringId	strClientEffect	fltBaseDelay	intComponentToModify	fltEnergyEfficiency	fltGeneralEfficiency	fltRepairMin	fltRepairMax	fltDamageToComponent	fltRepairKitConsumed	strMessageHandlerOnPlayer	fltCountermeasureCapacitorCost	fltCountermeasureShieldCost	fltFrontToBackShieldReinforcePercentage	fltBackToFrontShieldReinforcePercentage	fltCapacitorReinforcePercentage	fltFrontShieldRatio
s	c	s	s	f	"e(REACTOR=0,ENGINE=1,SHIELD_0=2,SHIELD_1=3,ARMOR_FRONT=4,ARMOR_BACK=5,CAPACITOR=6,BOOSTER=7,DROID_INTERFACE=8,BRIDGE=9,HANGAR=10,TARGETING_STATION=11,WEAPON_0=12,WEAPON_1=13,WEAPON_2=14,WEAPON_3=15,WEAPON_4=16,WEAPON_5=17,WEAPON_6=18,WEAPON_7=19,ALL_WEAPONS=-1,NONE=-2)[NONE]"	f	f	f	f	f	f	s	f	f	f	f	f	f
droidcommand_testweaponoverload1		test_weapons_overload_one		0.2	ALL_WEAPONS	0.75	1.25	0	0	0	0		0	0	0	0	0	0
droidcommand_testweaponoverload2		test_weapons_overload_two		0.3	ALL_WEAPONS	0.5	1.5	0	0	0	0		0	0	0	0	0	0
droidcommand_testweaponoverload3		test_weapons_overload_three		0.4	ALL_WEAPONS	0.25	2	0	0	0	0		0	0	0	0	0	0
droidcommand_testweaponoverload4		test_weapons_overload_four		0.6	ALL_WEAPONS	0.1	3	0	0	0	0		0	0	0	0	0	0
droidcommand_testweaponnormalize		test_weapons_normalize		0.2	ALL_WEAPONS	1	1	0	0	0	0		0	0	0	0	0	0
droidcommand_testfronttobackfifty		test_shields_fronttoback_fifty		0.2	NONE	0	0	0	0	0	0		0	0	0.5	0	0	0
droidcommand_testbacktofrontfifty		test_shields_backtofront_fifty		0.2	NONE	0	0	0	0	0	0		0	0	0	0.5	0	0
droidcommand_weaponnormalize		weapons_normalize		0.2	ALL_WEAPONS	1	1	0	0	0	0		0	0	0	0	0	0
droidcommand_weaponoverloadone		weapons_overload_one		0.2	ALL_WEAPONS	0.7	1.25	0	0	1	0		0	0	0	0	0	0
droidcommand_weaponeffeciencyone		weapons_efficiency_one		0.2	ALL_WEAPONS	1.25	0.75	0	0	0	0		0	0	0	0	0	0
droidcommand_breaklockone		countermeasure_breaklock_one		0	NONE	0	0	0	0	0	0		1	1	0	0	0	0
droidcommand_engineoverloadone		engine_overload_one		0.1	ENGINE	0.8	1.1	0	0	1	0		0	0	0	0	0	0
droidcommand_engineefficiencyone		engine_efficiency_one		0.1	ENGINE	1.25	0.75	0	0	0	0		0	0	0	0	0	0
droidcommand_enginenormalize		engine_normalize		0.1	ENGINE	1	1	0	0	0	0		0	0	0	0	0	0
droidcommand_shieldbacktofronttwenty		shields_backtofront_twenty		0.1	SHIELD_0	0	0	0	0	0	0		0	0	0	0.2	0	0
droidcommand_shieldfronttobacktwenty		shields_fronttoback_twenty		0.1	SHIELD_0	0	0	0	0	0	0		0	0	0.2	0	0	0
droidcommand_shieldnormalize		shields_normalize		0.1	SHIELD_0	0	0	0	0	0	0		0	0	0	0	0	1
droidcommand_reactoroverloadone		reactor_overload_one		0.1	REACTOR	1	1.1	0	0	5	0		0	0	0	0	0	0
droidcommand_reactornormalize		reactor_normalize		0.1	REACTOR	1	1	0	0	0	0		0	0	0	0	0	0
droidcommand_shieldadjustfrontone		shield_adjust_front_one		0.1	SHIELD_0	1	1	0	0	0	0		0	0	0	0	0	1.2
droidcommand_shieldadjustrearone		shield_adjust_rear_one		0.1	SHIELD_0	1	1	0	0	0	0		0	0	0	0	0	0.8
droidcommand_weaponoverloadtwo		weapons_overload_two		0.2	ALL_WEAPONS	0.5	1.5	0	0	3	0		0	0	0	0	0	0
droidcommand_weaponeffeciencytwo		weapons_efficiency_two		0.1	ALL_WEAPONS	1.5	0.5	0	0	0	0		0	0	0	0	0	0
droidcommand_breaklocktwo		countermeasure_breaklock_two		0	NONE	0	0	0	0	0	0		0	0	0	0	0	0
droidcommand_engineoverloadtwo		engine_overload_two		0.2	ENGINE	0.6	1.2	0	0	3	0		0	0	0	0	0	0
droidcommand_engineefficiencytwo		engine_efficiency_two		0.2	ENGINE	1.5	0.5	0	0	0	0		0	0	0	0	0	0
