spawns	name	room	loc_x	loc_y	loc_z	yaw	script	mood	animation_mood	respawn_time	spawn_objvar	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value
s	s	s	f	f	f	f	s	s	s	i	s	s	s	s	s	s
crackdown_rebel_corporal_hard		alcove2	17.4	-0.9	19.6	176	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking							
crackdown_rebel_cadet_hard		alcove2	17.4	-0.9	16.2	-8	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking							
crackdown_rebel_colonel_hard		alcove2	15.7	-0.9	17.5	35	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking							
crackdown_rebel_command_security_guard_hard		alcove2	19.6	-0.9	19.7	-141	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking							
crackdown_rebel_commando_hard		cantina	19.2	-0.9	12.8	134	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking							
crackdown_rebel_corporal_hard		cantina	22	-0.9	11.3	-56	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking							
crackdown_rebel_elite_heavy_trooper_hard		cantina	20.2	-0.9	10.4	17	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking							
crackdown_rebel_first_lieutenant_hard		cantina	10.9	-0.9	1.1	-175	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking							
crackdown_rebel_grenadier_hard		cantina	10.8	-0.9	-1.2	-7	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking							
crackdown_rebel_guard_captain_hard		cantina	22	-0.9	-5.4	-154	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking							
crackdown_rebel_heavy_trooper_hard		cantina	23.2	-0.9	-6.6	-130	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking							
crackdown_rebel_master_sergeant_hard		cantina	19.6	-0.9	-5.4	152	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking							
crackdown_rebel_medic_hard		cantina	19.8	-0.9	-6.9	-9	event.emp_day.empire_day_interior_spawn_npc									
crackdown_rebel_rifleman_hard		cantina	2.9	-0.9	5.7	179	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking							
crackdown_rebel_sergeant_hard		cantina	-2.9	-0.9	9.7	-47	event.emp_day.empire_day_interior_spawn_npc		
crackdown_rebel_sharpshooter_hard		cantina	-4.7	-0.9	11.7	140	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking
crackdown_rebel_squad_leader_hard		cantina	12.2	-0.9	8.9	-97	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking
crackdown_rebel_warrant_officer_ii_hard		cantina	21.9	-0.9	-2	48	event.emp_day.empire_day_interior_spawn_npc		
rebel_emperorsday_ceremony_sentry		cantina	10.4	-0.9	8.6	86	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking
rebel_emperorsday_ceremony_sentry		cantina	21.8	-0.9	-7.2	24	event.emp_day.empire_day_interior_spawn_npc		
rebel_emperorsday_ceremony_sentry		cantina	5.2	-0.9	-11.4	166	event.emp_day.empire_day_interior_spawn_npc		npc_standing_drinking
rebel_emperorsday_ceremony_sentry		foyer1	40	0.1	2.8	169	event.emp_day.empire_day_interior_spawn_npc		
