tatooine	bestine	naboo	corellia	rori	talus	lok	dathomir	dantooine	endor	yavin4
s	s	s	s	s	s	s	s	s	s	s
artisan	noble	ankura_gungan	artisan	artisan	artisan	artisan	artisan	artisan	artisan	artisan
bodyguard	official	artisan	bodyguard	bodyguard	bodyguard	bodyguard	bodyguard	bodyguard	bodyguard	bodyguard
bothan_diplomat	businessman	bodyguard	bothan_diplomat	bothan_diplomat	bothan_diplomat	bothan_diplomat	bothan_diplomat	bothan_diplomat	bothan_diplomat	bothan_diplomat
bothan_information_broker	imperial_noncom	bothan_diplomat	bothan_information_broker	bothan_information_broker	bothan_information_broker	bothan_information_broker	bothan_information_broker	bothan_information_broker	bothan_information_broker	bothan_information_broker
bounty_hunter	imperial_noncom	bothan_information_broker	bounty_hunter	bounty_hunter	bounty_hunter	bounty_hunter	bounty_hunter	bounty_hunter	bounty_hunter	bounty_hunter
brawler	imperial_noncom	bounty_hunter	brawler	brawler	brawler	brawler	brawler	brawler	brawler	brawler
businessman	imperial_noncom	brawler	businessman	businessman	businessman	businessman	businessman	businessman	businessman	businessman
comm_operator	imperial_noncom	businessman	comm_operator	comm_operator	comm_operator	comm_operator	comm_operator	comm_operator	comm_operator	comm_operator
commoner	imperial_noncom	comm_operator	commoner	commoner	commoner	commoner	commoner	commoner	commoner	commoner
darklighter_guard	imperial_private	commoner	corellia_times_investigator	entertainer	entertainer	entertainer	entertainer	entertainer	entertainer	entertainer
dim_u_abbot	imperial_private	entertainer	corellia_times_reporter	explorer	explorer	explorer	explorer	explorer	explorer	explorer
dim_u_cleric	imperial_private	explorer	corsec_agent	farmer	farmer	farmer	farmer	farmer	farmer	farmer
dim_u_monastery_nun	imperial_private	farmer	corsec_cadet	farmer_agriculturalist	farmer_agriculturalist	farmer_agriculturalist	farmer_agriculturalist	farmer_agriculturalist	farmer_agriculturalist	farmer_agriculturalist
dim_u_monk	imperial_trooper	farmer_agriculturalist	corsec_chief	farmer_rancher	farmer_rancher	farmer_rancher	farmer_rancher	farmer_rancher	farmer_rancher	farmer_rancher
dim_u_preacher	imperial_trooper	farmer_rancher	corsec_comissioner	gambler	gambler	gambler	gambler	gambler	gambler	gambler
dim_u_priestess	imperial_trooper	gambler	corsec_deserter	medic	medic	medic	medic	medic	medic	medic
entertainer	imperial_trooper	gungan_boss	corsec_detective	mercenary	mercenary	mercenary	mercenary	mercenary	mercenary	mercenary
explorer	imperial_trooper	gungan_grand_army_soldier	corsec_inspector_sergeant	miner	miner	mercenary_messanger	miner	miner	miner	miner
farmer	imperial_trooper	gungan_guard	corsec_investigator	artisan	artisan	mercenary_weak	artisan	artisan	artisan	artisan
farmer_agriculturalist	imperial_first_lieutenant	gungan_hermit	corsec_lieutenant	bodyguard	bodyguard	miner	bodyguard	bodyguard	bodyguard	bodyguard
farmer_rancher	imperial_first_lieutenant	gungan_hunter	corsec_major	bothan_diplomat	bothan_diplomat	artisan	bothan_diplomat	bothan_diplomat	bothan_diplomat	bothan_diplomat
gambler	imperial_first_lieutenant	gungan_mercenary	corsec_master_sergeant	bothan_information_broker	bothan_information_broker	bodyguard	bothan_information_broker	bothan_information_broker	bothan_information_broker	bothan_information_broker
hermit	imperial_sergeant	gungan_outcast	corsec_rogue	brawler	brawler	bothan_diplomat	brawler	brawler	brawler	brawler
medic	imperial_sergeant	gungan_priest	corsec_sergeant	businessman	businessman	bothan_information_broker	businessman	businessman	businessman	businessman
mercenary	imperial_sergeant	gungan_scout	corsec_trooper	commoner	commoner	brawler	commoner	commoner	commoner	commoner
miner	imperial_sergeant	medic	drall_abbot	entertainer	entertainer	businessman	entertainer	entertainer	entertainer	entertainer
artisan	imperial_sergeant	mercenary	drall_guard	explorer	explorer	commoner	explorer	explorer	explorer	explorer
bodyguard	imperial_corporal	miner	drall_monk	farmer	farmer	entertainer	farmer	farmer	farmer	farmer
bothan_diplomat	imperial_corporal	ankura_gungan	entertainer	farmer_agriculturalist	farmer_agriculturalist	explorer	farmer_agriculturalist	farmer_agriculturalist	farmer_agriculturalist	farmer_agriculturalist
bothan_information_broker	imperial_corporal	artisan	explorer	farmer_rancher	farmer_rancher	farmer	farmer_rancher	farmer_rancher	farmer_rancher	farmer_rancher
brawler	imperial_major	bodyguard	farmer	fringer	fringer	farmer_agriculturalist	fringer	fringer	fringer	fringer
businessman	imperial_major	bothan_diplomat	farmer_agriculturalist	gambler	gambler	farmer_rancher	gambler	gambler	gambler	gambler
