spawns	name	room	loc_x	loc_y	loc_z	script	convo_script	yaw	mood	respawn_time	spawn_objvar	spawn_objvar_value	spawn_objvar2	spawn_objvar_value2	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value
s	s	s	f	f	f	s	s	f	s	i	s	s	s	s	s	s	s	s	s
crackdown_imperial_colonel		core	10	-11	-20	theme_park.script_spawner.spawner_methods.ss_setup		20		180	spawn_objvar	customs							
crackdown_comm_operator		core	15	-11	-21	theme_park.script_spawner.spawner_methods.ss_setup		-1		180									
crackdown_command_security_guard		core	20	-11	-21	theme_park.script_spawner.spawner_methods.ss_setup		-20		180									
crackdown_stormtrooper_squad_leader		core	13	-13	-16	theme_park.script_spawner.spawner_methods.ss_setup		18		180									
crackdown_stormtrooper		foyer	13	-13	2	theme_park.script_spawner.spawner_methods.ss_setup		17		180	spawn_objvar	scan_follow							
crackdown_stormtrooper		foyer	17	-13	12	theme_park.script_spawner.spawner_methods.ss_setup		-88		180									
crackdown_imperial_medic		hallway	6	-13	11	theme_park.script_spawner.spawner_methods.ss_setup		-175		180									
crackdown_imperial_sharpshooter		hallway	-4	-13	13	theme_park.script_spawner.spawner_methods.ss_setup		157		180									
crackdown_imperial_army_captain		room2	-5	-13	-12	theme_park.script_spawner.spawner_methods.ss_setup		25		180									
crackdown_stormtrooper		room2	-6	-13	6	theme_park.script_spawner.spawner_methods.ss_setup		148		180	spawn_objvar	customs							
crackdown_specialist_noncom		room2	-6	-13	-4	theme_park.script_spawner.spawner_methods.ss_setup		58		180									
crackdown_stormtrooper_sniper		room1	7	-6	-7	theme_park.script_spawner.spawner_methods.ss_setup		-12		180									
crackdown_stormtrooper_sniper		room1	1	-6	-6	theme_park.script_spawner.spawner_methods.ss_setup		115		180									
crackdown_imperial_sergeant		hall1	0	0	3.5	theme_park.script_spawner.spawner_methods.ss_setup		4		180									
