trait_01	trait_02	trait_03	trait_04	trait_05
s	s	s	s	s
romance	holo_vids	moonlight	imperial	things
moonlight	holo_vids	communication	children	not_alone
communication	imperial	blood_type	things	clubs
intimacy	beaches	not_alone	education	animals
animals	travel	blood_type	house	things
education	communication	rebel	money	career
money	education	romance	conversation	rebel
staying_home	intimacy	holo_vids	crafting	romance
money	clubs	house	travel	career
conversation	art	crafting	music	staying_home
space_cruises	music	beaches	clubs	imperial
career	staying_home	children	space_cruises	crafting
beaches	music	rebel	animals	romance
blood_type	moonlight	house	intimacy	art
art	not_alone	travel	children	conversation
