RID	Response_Text
i[1]	s
1	healing_response_01
2	healing_response_02
3	healing_response_03
4	healing_response_04
5	healing_response_05
6	healing_response_06
7	healing_response_07
8	healing_response_08
9	healing_response_09
10	healing_response_10
11	healing_response_11
12	healing_response_12
13	healing_response_13
14	healing_response_14
15	healing_response_15
16	healing_response_16
17	healing_response_17
18	healing_response_18
19	healing_response_19
20	healing_response_20
21	healing_response_21
22	healing_response_22
23	healing_response_23
24	healing_response_24
25	healing_response_25
26	healing_response_26
27	healing_response_27
28	healing_response_28
29	healing_response_29
30	healing_response_30
31	healing_response_31
32	healing_response_32
33	healing_response_33
34	healing_response_34
35	healing_response_35
36	healing_response_36
37	healing_response_37
38	healing_response_38
39	healing_response_39
40	healing_response_40
41	healing_response_41
42	healing_response_42
43	healing_response_43
44	healing_response_44
45	healing_response_45
46	healing_response_46
47	healing_response_47
48	healing_response_48
49	healing_response_49
50	healing_response_50
51	healing_response_51
52	healing_response_52
53	healing_response_53
54	healing_response_54
55	healing_response_55
56	healing_response_56
57	healing_response_57
