strTemplate	intSpawnLimit	intMinDifficulty	intMaxDifficulty	intWeighting	intSize	intNumToSpawn	strTemplateToSpawn	strLairType	strBuildingType	intGCWFaction	intGCWThreshold	intGCWScoreType	strGCWSpecificRegion
s	i	i	i	i	i	i	s	s	s	i	i	i	s
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			rori_capper_spineflap_flight_neutral_none					
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			rori_cobral_mugger_camp_neutral_medium_theater					
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			rori_sickle_rasp_nest_neutral_medium					
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			rori_sickle_rasp_pack_neutral_none					
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			rori_squall_meek_avenger_neutral_none					
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			rori_gundark_raider_camp_neutral_medium_theater					
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			rori_gundark_hooligan_camp_neutral_medium_theater					
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			rori_hermit_spider_neutral_none					
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			rori_sickle_rasp_nest_neutral_medium					
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			rori_sickle_rasp_pack_neutral_none					
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			rori_borgle_gruntling_neutral_none					
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			global_surface_marshal_imperial_none					
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			global_surface_marshal_rebel_none					
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			global_imp_stormtrooper_tier1		1	50	1	
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			global_imp_swamptrooper_tier1		1	50	1
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			global_imp_assaulttrooper_tier2		1	75	1
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			global_imp_inquisitor_tier2		1	75	1
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			global_imp_novatrooper_tier3		1	90	1
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			global_reb_soldier_tier1		2	50	1
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			global_reb_commando_tier1		2	50	1
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			global_reb_assault_tier2		2	75	1
object/tangible/lair/npc_lair.iff	-1	40	50	15	25			global_reb_commando_tier2		2	75	1
object/tangible/lair/npc_lair.iff	-1	40	50	8	25			global_reb_atxt_tier3		2	90	1
object/tangible/lair/npc_lair.iff	-1	40	50	7	25			global_reb_trooper_tier3		2	90	1
