dataType	object	locx	locy	locz	yaw	script	animation	clientEffect	minDamage	maxDamage
s[none]	s[none]	i[0]	i[0]	i[0]	i[0]	s[none]	s[none]	s[none]	i[0]	i[0]
setpiece	object/tangible/dungeon/mustafar/obiwan_finale/obiwan_finale_buff_crystal.iff	57	1.5	6	-92	theme_park.dungeon.mustafar_trials.obiwan_finale.obiwan_crystal_object				
setpiece	object/tangible/quest/som_kenobi_final_crystal_pedestal.iff	57	0	6	-90					
setpiece	object/tangible/dungeon/mustafar/obiwan_finale/obiwan_finale_exit_stone.iff	4.38	0	2.34	0	theme_park.dungeon.mustafar_trials.obiwan_finale.obiwan_exit_object				
boss	som_kenobi_dark_jedi_boss	9	0	-3.5	0	theme_park.dungeon.mustafar_trials.obiwan_finale.obiwan_lair_boss				
minionA	som_kenobi_finale_minion_mix	9.4	0	-3.5	0	theme_park.dungeon.mustafar_trials.obiwan_finale.obiwan_minion_ops				
minionB	som_kenobi_finale_minion_melee	9.4	0	-3.5	0	theme_park.dungeon.mustafar_trials.obiwan_finale.obiwan_minion_ops				
location	hangBackLocation	33	0	4.7	88					
location	postureLocation	43	0	5	86					
forcePowerAttack	singleStoneThrow						force_push	clienteffect/mustafar/dark_jedi_rock_attack_1.cef	500	1000
forcePowerAttack	doubleStoneThrow						force_strength	clienteffect/mustafar/dark_jedi_rock_attack_2.cef	1000	2000
forcePowerAttack	tripleStoneThrow						force_strength	clienteffect/mustafar/dark_jedi_rock_attack_3.cef	2000	3000
forcePowerAttack	multiStoneThrow						force_choke	clienteffect/mustafar/dark_jedi_rock_attack_10.cef	3000	4000
