object	name	room	loc_x	loc_y	loc_z	yaw	script	objvar	directions
s	s	s	f	f	f	f	s	s	c
object/tangible/terminal/terminal_nym_cave.iff	Security Terminal	r25	-60.62	-65.84	-142.28	-90	systems.collections.consume_click	"string;useStringFile=collection,string;useMenu=plant_device,string;collection.slotName=nyms_surveillance_device:icon_nyms_surveillance_device_10"	Add multiple scripts by seperating each script with comma.
object/tangible/container/loot/astromech_container.iff		r28	-65.32	-65.98	-177.78	0	theme_park.nym.droid_module		Add vars by seperating var type with the other var data using a colon. Separate the var name and var value using an equal sign.Example int:myVar=1
object/tangible/furniture/nym_themepark/collection/armoire_s01.iff	Pirate Armoire	r22	-12	-43.7	-100.3	-138	systems.collections.consume_click	"string;useStringFile=collection,string;useMenu=plant_device,string;collection.slotName=nyms_surveillance_device:icon_nyms_surveillance_device_01"	"Add multiple vars by seperating each script with comma. Example: int:myVar=1,string:myStringVar=helloWorld"
object/tangible/furniture/nym_themepark/collection/frn_all_data_terminal_free_s2.iff	Old Mining Terminal	r1	0.1	-22	-19.8	0	systems.collections.consume_click	"string;useStringFile=collection,string;useMenu=plant_device,string;collection.slotName=nyms_surveillance_device:icon_nyms_surveillance_device_02"	
object/tangible/furniture/nym_themepark/collection/frn_all_lamp_free_s04.iff	Lamp	r5	-61.4	-46.4	-52	-40	systems.collections.consume_click	"string;useStringFile=collection,string;useMenu=plant_device,string;collection.slotName=nyms_surveillance_device:icon_nyms_surveillance_device_03"	
object/tangible/furniture/nym_themepark/collection/frn_all_meatlump_grill_s02.iff	Pirate Grill	r10	-176.5	-49.5	-60.5	54	systems.collections.consume_click	"string;useStringFile=collection,string;useMenu=plant_device,string;collection.slotName=nyms_surveillance_device:icon_nyms_surveillance_device_04"	
object/tangible/furniture/nym_themepark/collection/frn_all_plant_potted_lg_s4.iff	Large Dying Plant	r16	-111.8	-57.2	-37.7	38	systems.collections.consume_click	"string;useStringFile=collection,string;useMenu=plant_device,string;collection.slotName=nyms_surveillance_device:icon_nyms_surveillance_device_05"	
object/tangible/furniture/nym_themepark/collection/frn_all_plant_potted_lg_s3.iff	Multi-level Plant	r11	-98.6	-39.4	-86	-97	systems.collections.consume_click	"string;useStringFile=collection,string;useMenu=plant_device,string;collection.slotName=nyms_surveillance_device:icon_nyms_surveillance_device_06"	
object/tangible/furniture/nym_themepark/collection/frn_all_plant_potted_lg_s2.iff	Large Cactus	r3	-50.6	-29.5	-38.1	67	systems.collections.consume_click	"string;useStringFile=collection,string;useMenu=plant_device,string;collection.slotName=nyms_surveillance_device:icon_nyms_surveillance_device_07"	
object/tangible/furniture/nym_themepark/collection/frn_all_plant_potted_lg_s1.iff	Large Green Plant	r2	-31.6	-29.2	-27.2	23	systems.collections.consume_click	"string;useStringFile=collection,string;useMenu=plant_device,string;collection.slotName=nyms_surveillance_device:icon_nyms_surveillance_device_08"	
object/tangible/furniture/nym_themepark/collection/table_work_bench.iff	End Table	r11	-101.1	-55.2	-80.9	90	systems.collections.consume_click	"string;useStringFile=collection,string;useMenu=plant_device,string;collection.slotName=nyms_surveillance_device:icon_nyms_surveillance_device_09"	
object/tangible/theme_park/nym/dungeon_boss_terminal.iff	Terminal	r27	49.2	-65.8	-83.3	-90	conversation.boss_terminal_pirate_cave		
