loc_x	loc_y	loc_z	yaw
f	f	f	f
-7046	557	-6415	0
-7000	550	-6643	0
-6786	549	-6748	0
-6611	553	-6543	0
-7033	550	-6525	0
-7088	550	-6595	0
-7116	550	-6474	0
-7170	560	-6406	0
-7170	551	-6537	0
-7139	550	-6672	0
-7012	550	-6585	0
-6850	551	-6696	0
-6761	550	-6687	0
-6691	541	-6628	0
-6927	551	-6692	0
-6662	540	-6571	0
-6588	550	-6630	0
-6501	547	-6528	0
-7041	551	-6455	0
-7195	555	-6453	0
-6696	542	-6699	0
-6641	540	-6621	0
-6560	551	-6584	0
-6618	541	-6679	0
-6715	542	-6759	0
-6885	552	-6761	0
-7026	552	-6705	0
