object	name	room	loc_x	loc_y	loc_z	yaw	script	objvar	directions
s	s	s	f	f	f	f	s	s	c
object/tangible/container/loot/gas_filter_container.iff		r11	-87.81	-99.42	-88.93	-90	theme_park.nym.gas_filter		
object/tangible/collection/ore_collectible.iff		r2	-10.8	-30.7	-26.6	-80	systems.collections.consume_click	string;collection.slotName=nyms_steal_mined_ore:icon_nyms_steal_mined_ore_1	
object/tangible/collection/ore_collectible.iff		r4	50.5	-45.6	-100.7	176	systems.collections.consume_click	string;collection.slotName=nyms_steal_mined_ore:icon_nyms_steal_mined_ore_2	
object/tangible/collection/ore_collectible.iff		r7	-21.9	-65.1	-211.7	-82	systems.collections.consume_click	string;collection.slotName=nyms_steal_mined_ore:icon_nyms_steal_mined_ore_3	
object/tangible/collection/ore_collectible.iff		r8	-99.5	-69.4	-91.8	-13	systems.collections.consume_click	string;collection.slotName=nyms_steal_mined_ore:icon_nyms_steal_mined_ore_4	
object/tangible/collection/ore_collectible.iff		r8	-82.8	-98.9	-155	-25	systems.collections.consume_click	string;collection.slotName=nyms_steal_mined_ore:icon_nyms_steal_mined_ore_5	
object/tangible/collection/ore_collectible.iff		r7	-23.6	-62.8	-261.1	-125	systems.collections.consume_click	string;collection.slotName=nyms_steal_mined_ore:icon_nyms_steal_mined_ore_6	
object/tangible/collection/ore_collectible.iff		r5	72.8	-58.9	-166.3	74	systems.collections.consume_click	string;collection.slotName=nyms_steal_mined_ore:icon_nyms_steal_mined_ore_7	
object/tangible/collection/ore_collectible.iff		r4	54.1	-46.2	-62.6	72	systems.collections.consume_click	string;collection.slotName=nyms_steal_mined_ore:icon_nyms_steal_mined_ore_8	
object/tangible/collection/ore_collectible.iff		r7	-1.3	-64.1	-238	172	systems.collections.consume_click	string;collection.slotName=nyms_steal_mined_ore:icon_nyms_steal_mined_ore_9	
object/tangible/collection/ore_collectible.iff		r11	-84.4	-99.8	-92.2	-1	systems.collections.consume_click	string;collection.slotName=nyms_steal_mined_ore:icon_nyms_steal_mined_ore_10	
object/tangible/theme_park/nym/dungeon_boss_terminal.iff	Terminal	r8	-81	-99	-163.3	0	conversation.boss_terminal_mining_cave_controller		
object/tangible/theme_park/nym/dungeon_boss_terminal_02.iff	Terminal	r11	-91.8	-100.4	-93.6	0	conversation.boss_terminal_mining_cave_foreman		
