object	name	room	loc_x	loc_y	loc_z	yaw	script	objvar	directions
s	s	s	f	f	f	f	s	s	c
object/tangible/container/loot/computer_container.iff		researchlab1	-60.6	-20	48.26	270	theme_park.nym.computer		
object/tangible/quest/nym_grenade_container.iff	Supply Crate	storage2	-7	-20	78.4	180	theme_park.nym.grenade_crate		
object/tangible/terminal/systems_control_terminal.iff		foyer	9.5	-12	43.8	90	systems.collections.consume_click	string;collection.slotName=nyms_steal_lab_data:icon_nyms_steal_lab_data_1	
object/tangible/terminal/systems_control_terminal.iff		foyer	11	-12	64.3	-90	systems.collections.consume_click	string;collection.slotName=nyms_steal_lab_data:icon_nyms_steal_lab_data_2	
object/tangible/terminal/systems_control_terminal.iff		researchlab1	-47.1	-20	42.9	-90	systems.collections.consume_click	string;collection.slotName=nyms_steal_lab_data:icon_nyms_steal_lab_data_3	
object/tangible/terminal/systems_control_terminal.iff		researchlab1	-78.7	-20	46.9	90	systems.collections.consume_click	string;collection.slotName=nyms_steal_lab_data:icon_nyms_steal_lab_data_4	
object/tangible/terminal/systems_control_terminal.iff		hall2	3.3	0.3	-5.5	0	systems.collections.consume_click	string;collection.slotName=nyms_steal_lab_data:icon_nyms_steal_lab_data_5	
object/tangible/terminal/systems_control_terminal.iff		sleepingquarters	19.1	-12	26.4	180	systems.collections.consume_click	string;collection.slotName=nyms_steal_lab_data:icon_nyms_steal_lab_data_6	
object/tangible/terminal/systems_control_terminal.iff		storage1	-9.1	-20	-0.3	-90	systems.collections.consume_click	string;collection.slotName=nyms_steal_lab_data:icon_nyms_steal_lab_data_7	
object/tangible/terminal/systems_control_terminal.iff		powerroom	-34.5	-20	93.6	0	systems.collections.consume_click	string;collection.slotName=nyms_steal_lab_data:icon_nyms_steal_lab_data_9	
object/tangible/terminal/systems_control_terminal.iff		cell2	74.6	-12	51.6	0	systems.collections.consume_click	string;collection.slotName=nyms_steal_lab_data:icon_nyms_steal_lab_data_10	
object/tangible/terminal/systems_control_terminal.iff		researchlab2	24.2	-20	115.6	0	systems.collections.consume_click	string;collection.slotName=nyms_steal_lab_data:icon_nyms_steal_lab_data_8	
object/tangible/theme_park/nym/dungeon_boss_terminal.iff	Terminal	computerroom	-54.4	-20	12.8	-90	conversation.boss_terminal_research_lapaz		
object/tangible/theme_park/nym/dungeon_boss_terminal_02.iff	Terminal	office	-54.2	-20	74	0	conversation.boss_terminal_research_barnet		
