loc_x	loc_y	loc_z	yaw
f	f	f	f
-7358	560	-6787	0
-7394	560	-6965	0
-7169	555	-6724	0
-7030	552	-6761	0
-7448	560	-6841	0
-7507	560	-6771	0
-7501	560	-6624	0
-7398	560	-6617	0
-7267	559	-6628	0
-7183	552	-6647	0
-7010	551	-6698	0
-7223	556	-6674	0
-7300	560	-6734	0
-7410	560	-6659	0
-7487	560	-6660	0
-7450	560	-6719	0
-7370	560	-6727	0
-7436	560	-6787	0
-7415	560	-6903	0
-7480	560	-6974	0
-7367	560	-7026	0
-7315	560	-6686	0
-7087	551	-6696	0
-7313	560	-7049	0
-7436	560	-7021	0
-7352	560	-6876	0
-7242	559	-6773	0
-7499	560	-6907	0
