loc_x	loc_y	loc_z	yaw
f	f	f	f
-7039	545	-6999	0
-7236	560	-7079	0
-7336	560	-7078	0
-7387	560	-7018	0
-7133	559	-7050	0
-7213	560	-7101	0
-7304	560	-7086	0
-7384	560	-6978	0
-7353	560	-6861	0
-7309	560	-6823	0
-7405	560	-6893	0
-7378	560	-7034	0
-7386	560	-7089	0
-7463	560	-7012	0
-7470	560	-6934	0
-7214	560	-7029	0
-7411	560	-6821	0
-7477	560	-6839	0
-7510	560	-6960	0
-7492	560	-7076	0
-7442	560	-7121	0
-7263	560	-6964	0
-7276	560	-6884	0
-7204	560	-6830	0
-7262	560	-6814	0
-7327	560	-6925	0
-7306	560	-7022	0
