loc_x	loc_y	loc_z	yaw
f	f	f	f
3009	331	-4484	0
3015	331	-4550	0
3048	339	-4572	0
3109	345	-4577	0
3123	336	-4615	0
2949	301	-4843	0
2825	268	-4748	0
2744	249	-4710	0
2751	260	-4658	0
3252	269	-4616	0
3252	259	-4577	0
2818	315	-4606	0
2825	299	-4638	0
2801	290	-4648	0
2902	302	-4798	0
2912	330	-4582	0
2944	330	-4582	0
2928	298	-4483	0
3002	298	-4447	0
3057	329	-4529	0
3036	342	-4587	0
3015	325	-4493	0
2993	313	-4493	0
2962	290	-4448	0
2903	300	-4487	0
2876	298	-4490	0
2928	298	-4483	0
2941	296	-4470	0
3007	302	-4451	0
3026	324	-4497	0
2987	311	-4484	0
2972	303	-4472	0
2951	277	-4434	0
2965	315	-4569	0
2940	330	-4588	0
3059	317	-4488	0
3047	338	-4572	0
2979	331	-4569	0
