spawns	name	room	loc_x	loc_y	loc_z	scriptOne	scriptTwo	scriptThree	convo_script	yaw	mood	respawn_time	spawn_objvar	spawn_objvar_value	spawn_objvar2	spawn_objvar_value2	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value	building_id
s	s	s	f	f	f	s	s	s	s	f	s	i	s	s	s	s	s	s	s	s	s	i
crackdown_scout_trooper		world	5177.1	326	-1552.9	theme_park.script_spawner.spawner_methods.ss_setup				-77		180	spawn_objvar	static								
crackdown_stormtrooper		world	5178.3	326.2	-1578	theme_park.script_spawner.spawner_methods.ss_setup				-77		180	spawn_objvar	static								
crackdown_stormtrooper		world	5165.1	346.5	-1484.6	theme_park.script_spawner.spawner_methods.ss_setup				144		180	spawn_objvar	static								
crackdown_stormtrooper		world	5163.4	346.5	-1522	theme_park.script_spawner.spawner_methods.ss_setup				132		180	spawn_objvar	static								
crackdown_scout_trooper		world	5048.7	352.9	-1530.8	theme_park.script_spawner.spawner_methods.ss_setup				97		180	spawn_objvar	static								
crackdown_stormtrooper		world	4914.6	360	-1397.6	theme_park.script_spawner.spawner_methods.ss_setup				-172		180	spawn_objvar	static								
crackdown_stormtrooper_captain		world	4606.6	323.3	-1321.9	theme_park.script_spawner.spawner_methods.ss_setup				-49		180	spawn_objvar	static								
crackdown_command_security_guard		world	5177.9	328.8	-1535.2	theme_park.script_spawner.spawner_methods.ss_setup				-2		180	spawn_objvar	city_wander	spawn_objvar2	customs						
crackdown_command_security_guard		world	5121.5	350	-1491.9	theme_park.script_spawner.spawner_methods.ss_setup				-130		180	spawn_objvar	city_wander	spawn_objvar2	customs						
crackdown_command_security_guard		world	4955.9	360	-1429.7	theme_park.script_spawner.spawner_methods.ss_setup				-74		180	spawn_objvar	city_wander	spawn_objvar2	customs						
crackdown_stormtrooper		world	4776.7	337.2	-1436.3	theme_park.script_spawner.spawner_methods.ss_setup				-15		180	spawn_objvar	city_wander	spawn_objvar2	customs						
