shipType	name	skill	fltMass	fltHitPoints
s	s	s	f	f
firespray	Factionless KSE Firespray		210000	5000
yt2400	Factionless YT-2400		5000000	5000
tieadvanced	Imperial TIE Advanced	pilot_imperial_navy_starships_04	65000	5000
tieaggressor	Imperial TIE Aggressor	pilot_imperial_navy_starships_04	120000	5000
tiebomber	Imperial TIE Bomber	pilot_imperial_navy_starships_03	190000	5000
tiefighter	Imperial TIE Fighter	pilot_imperial_navy_starships_01	95000	5000
tieinterceptor	Imperial TIE Interceptor	pilot_imperial_navy_starships_03	50000	5000
tie_light_duty	Imperial TIE Light Duty Fighter	pilot_imperial_navy_novice	12000	5000
tieoppressor	Imperial TIE Oppressor	pilot_imperial_navy_master	170000	5000
tie_in	Imperial TIE/In	pilot_imperial_navy_starships_02	75000	5000
decimator	Imperial VT-49 Decimator	pilot_imperial_navy_master	5000000	5000
blacksun_medium_s01	Neutral Blacksun Ixiyen Fast Attack Craft 1	pilot_neutral_starships_03	176000	5000
blacksun_medium_s02	Neutral Blacksun Ixiyen Fast Attack Craft 2	pilot_neutral_starships_03	176000	5000
blacksun_medium_s03	Neutral Blacksun Ixiyen Fast Attack Craft 3	pilot_neutral_starships_03	176000	5000
blacksun_medium_s04	Neutral Blacksun Ixiyen Fast Attack Craft 4	pilot_neutral_starships_03	176000	5000
blacksun_light_s01	Neutral Blacksun Kihraxz Assault Fighter 1	pilot_neutral_starships_02	40000	5000
blacksun_light_s02	Neutral Blacksun Kihraxz Assault Fighter 2	pilot_neutral_starships_02	40000	5000
blacksun_light_s03	Neutral Blacksun Kihraxz Assault Fighter 3	pilot_neutral_starships_02	40000	5000
blacksun_light_s04	Neutral Blacksun Kihraxz Assault Fighter 4	pilot_neutral_starships_02	40000	5000
blacksun_heavy_s01	Neutral Blacksun Rihkxyrk Attack Ship 1	pilot_neutral_starships_04	190000	5000
blacksun_heavy_s02	Neutral Blacksun Rihkxyrk Attack Ship 2	pilot_neutral_starships_04	190000	5000
blacksun_heavy_s03	Neutral Blacksun Rihkxyrk Attack Ship 3	pilot_neutral_starships_04	190000	5000
blacksun_heavy_s04	Neutral Blacksun Rihkxyrk Attack Ship 4	pilot_neutral_starships_04	190000	5000
hutt_medium_s01	Neutral Hutt Dunelizard Medium Fighter 1	pilot_neutral_starships_01	160000	5000
hutt_medium_s02	Neutral Hutt Dunelizard Medium Fighter 2	pilot_neutral_starships_01	160000	5000
hutt_heavy_s01	Neutral Hutt Kimogila Heavy Fighter 1	pilot_neutral_starships_02	200000	5000
hutt_heavy_s02	Neutral Hutt Kimogila Heavy Fighter 2	pilot_neutral_starships_02	200000	5000
hutt_turret_ship	"Neutral Hutt M22-T ""Krayt"" Heavy Fighter"	pilot_neutral_master	210000	5000
hutt_light_s01	Neutral Hutt Scyk Light Fighter	pilot_neutral_novice	95000	5000
hutt_light_s02	Neutral Hutt Scyk Light Fighter	pilot_neutral_novice	95000	5000
yt1300	Neutral YT-1300	pilot_neutral_master	5000000	5000
arc170	Rebel Arc 170	pilot_rebel_navy_starships_04	150000	2500
awing	Rebel A-Wing	pilot_rebel_navy_starships_04	65000	5000
bwing	Rebel B-Wing	pilot_rebel_navy_master	245000	5000
xwing	Rebel X-Wing	pilot_rebel_navy_starships_03	180000	5000
ykl37r	Rebel YKL-37R	pilot_rebel_navy_master	5000000	5000
ywing	Rebel Y-Wing	pilot_rebel_navy_starships_01	150000	5000
ywing_longprobe	Rebel Y-Wing Longprobe	pilot_rebel_navy_starships_02	170000	5000
z95	Rebel Z95 Headhunter	pilot_rebel_navy_novice	95000	5000
