strType	strComments	strName	fltEnergyGeneration	fltMaximumHitpoints	fltMaximumArmorHitpoints	fltMass
s	c	s	f	f	f	f
object/tangible/ship/components/reactor/rct_cygnus_supercharged_mk2.iff	1	Test Reactor Level 1	12671	93	93	975
object/tangible/ship/components/reactor/rct_freitek_improved_powerhouse_mk1.iff	2	Test Reactor Level 2	12778	124	124	1626
object/tangible/ship/components/reactor/rct_kse_rct_x.iff	3	Test Reactor Level 3	14032	201	201	2285
object/tangible/ship/components/reactor/rct_sorosuub_fusion_reactor_3.iff	4	Test Reactor Level 4	17289	299	299	4165
object/tangible/ship/components/reactor/rct_sfs_imperial_4.iff	5	Test Reactor Level 5	19920	370	370	5410
object/tangible/ship/components/reactor/rct_mandal_dxr5.iff	6	Test Reactor Level 6	26137	561	561	9894
object/tangible/ship/components/reactor/rct_corellian_modified_bt5.iff	7	Test Reactor Level 7	39124	532	532	13347
object/tangible/ship/components/reactor/rct_sds_elite.iff	8	Test Reactor Level 8	40705	830	830	24966
object/tangible/ship/components/reactor/rct_moncal_overdriver_s1.iff	9	Test Reactor Level 9	34576	829	829	34301
object/tangible/ship/components/reactor/rct_slayn_hypertron_4k.iff	10	Test Reactor Level 10	41493	1241	1241	40490
