strType	strComments	strName	fltMinDamage	fltMaxDamage	fltShieldEffectiveness	fltArmorEffectiveness	fltEnergyPerShot	fltRefireRate	fltMaximumHitpoints	fltMaximumArmorHitpoints	fltEnergyMaintenance	fltMass
s	c	s	f	f	f	f	f	f	f	f	f	f
object/tangible/ship/components/weapon/wpn_sds_imperial_blaster_1.iff	1	Test Weapon Level 1	329	442	0.734	0.734	16.66	0.31	91	91	1556	801
object/tangible/ship/components/weapon/wpn_bwing_blaster.iff	2	Test Weapon Level 2	413	557	0.918	0.918	21.26	0.39	117	117	1679	1418
object/tangible/ship/components/weapon/wpn_slayn_ioncannon.iff	3	Test Weapon Level 3	700	993	0.721	0.632	18.43	0.31	195	195	1694	2117
object/tangible/ship/components/weapon/wpn_mission_reward_imperial_cygnus_starblaster.iff	4	Test Weapon Level 4	870	1225	0.667	0.675	23.28	0.38	253	253	1661	3582
object/tangible/ship/components/weapon/wpn_hk_scorcher_2.iff	5	Test Weapon Level 5	1247	1850	0.686	0.686	19.58	0.31	354	354	1739	5400
object/tangible/ship/components/weapon/wpn_seinar_ls1.iff	6	Test Weapon Level 6	1878	2843	0.681	0.681	24.48	0.38	446	446	1689	9394
object/tangible/ship/components/weapon/wpn_mandal_advanced_annihilator.iff	7	Test Weapon Level 7	1977	3080	0.651	0.64	20.9	0.3	548	548	1753	13442
object/tangible/ship/components/weapon/wpn_sds_heavy_imperial_spc_forces_cannon.iff	8	Test Weapon Level 8	2531	3913	0.7	0.7	13.3	0.38	724	724	1650	22078
object/tangible/ship/components/weapon/wpn_sds_elite.iff	9	Test Weapon Level 9	2404	3860	0.657	0.636	23.31	0.3	647	647	1796	34682
object/tangible/ship/components/weapon/wpn_sds_modified_elite.iff	10	Test Weapon Level 10	3001	4927	0.826	0.805	28.85	0.37	822	822	1802	43049
