strType	strComments	strName	fltMaximumHitpoints	fltMaximumArmorHitpoints	fltMass
s	c	s	f	f	f
object/tangible/ship/components/armor/arm_koensayr_reinforced_b5_durasteel.iff	1	Test Armor Level 1	226	226	639
object/tangible/ship/components/armor/arm_corellian_reinforced_light_durasteel.iff	2	Test Armor Level 2	290	290	1037
object/tangible/ship/components/armor/arm_sds_triplate_system.iff	3	Test Armor Level 3	563	563	1243
object/tangible/ship/components/armor/arm_kse_modified_heavy_durasteel.iff	4	Test Armor Level 4	700	700	2305
object/tangible/ship/components/armor/arm_koensayr_thick_advanced_durasteel.iff	5	Test Armor Level 5	1028	1028	2801
object/tangible/ship/components/armor/arm_mandal_modified_supreme_composite.iff	6	Test Armor Level 6	1319	1319	4812
object/tangible/ship/components/armor/arm_mandal_double_insulated_i7.iff	7	Test Armor Level 7	1563	1563	5539
object/tangible/ship/components/armor/arm_kessel_imperial_sds_imperial_impervious.iff	8	Test Armor Level 8	2014	2014	9415
object/tangible/ship/components/armor/arm_kessel_rebel_slayn_flexsteel_multilayer.iff	9	Test Armor Level 9	1916	1916	10991
object/tangible/ship/components/armor/arm_incom_standard_plate.iff	10	Test Armor Level 10	2319	2319	13517
