strType	strComments	strName	fltMaxSpeed	fltMaxPitch	fltMaxRoll	fltMaxYaw	fltMaximumHitpoints	fltMaximumArmorHitpoints	fltEnergyMaintenance	fltMass
s	c	s	f	f	f	f	f	f	f	f
object/tangible/ship/components/engine/eng_cygnus_hd7.iff	1	Test Engine Level 1	48	50	50	50	82	82	1269	750
object/tangible/ship/components/engine/eng_incom_fusialthrust.iff	2	Test Engine Level 2	60	61	61	61	105	105	1274	1352
object/tangible/ship/components/engine/eng_corellian_deluxe_cruiser_grade_mk1.iff	3	Test Engine Level 3	54	53	53	53	187	187	1195	1831
object/tangible/ship/components/engine/eng_rss_imperial_skyrunner_2.iff	4	Test Engine Level 4	69	65	65	65	243	243	1281	3504
object/tangible/ship/components/engine/engine_kuat_f31.iff	5	Test Engine Level 5	62	57	57	57	349	349	1263	5011
object/tangible/ship/components/engine/eng_cygnus_hdx.iff	6	Test Engine Level 6	103	70	70	70	458	458	1326	8496
object/tangible/ship/components/engine/eng_novaldex_eventhorizon.iff	7	Test Engine Level 7	40	61	61	61	522	522	1282	13338
object/tangible/ship/components/engine/engine_surronian_a2.iff	8	Test Engine Level 8	110	77	77	77	681	681	1280	22397
object/tangible/ship/components/engine/eng_mission_reward_neutral_mandal_inferno.iff	9	Test Engine Level 9	80	65	65	65	613	613	1321	33666
object/tangible/ship/components/engine/engine_nubian_221_racing_mod.iff	10	Test Engine Level 10	118	82	82	82	805	805	1302	38719
