strType	strComments	strName	fltMaxEnergy	fltRechargeRate	fltMaximumHitpoints	fltMaximumArmorHitpoints	fltEnergyMaintenance	fltMass
s	c	s	f	f	f	f	f	f
object/tangible/ship/components/weapon_capacitor/cap_qualdex_conservator_q7.iff	1	Test Capacitor Level 1	668	24	82	82	789	769
object/tangible/ship/components/weapon_capacitor/cap_corellian_cruiser_grade_cap9.iff	2	Test Capacitor Level 2	1067	39	122	122	614	1134
object/tangible/ship/components/weapon_capacitor/cap_sorosuub_supercharged_dynamo_mk4.iff	3	Test Capacitor Level 3	698	26	193	193	808	2125
object/tangible/ship/components/weapon_capacitor/cap_kessel_rebel_deepwell_k33_prototype.iff	4	Test Capacitor Level 4	1133	43	292	292	639	2892
object/tangible/ship/components/weapon_capacitor/cap_kessel_rebel_armek_array.iff	5	Test Capacitor Level 5	764	29	364	364	735	4799
object/tangible/ship/components/weapon_capacitor/cap_subpro_experimental.iff	6	Test Capacitor Level 6	1367	48	528	528	640	7511
object/tangible/ship/components/weapon_capacitor/cap_huppla_pasa_tisc_old_capacitor.iff	7	Test Capacitor Level 7	884	34	520	520	772	12335
object/tangible/ship/components/weapon_capacitor/cap_novaldex_wampa_s1.iff	8	Test Capacitor Level 8	1341	53	821	821	791	24370
object/tangible/ship/components/weapon_capacitor/cap_corellian_elite.iff	9	Test Capacitor Level 9	955	38	631	631	817	31184
object/tangible/ship/components/weapon_capacitor/cap_z95_deepwell_experimental.iff	10	Test Capacitor Level 10	1661	59	976	976	909	36193
