strType	strComments	strName	fltMaximumEnergy	fltRechargeRate	fltConsumptionRate	fltAcceleration	fltMaxSpeed	fltMaximumHitpoints	fltMaximumArmorHitpoints	fltEnergyMaintenance	fltMass
s	c	s	f	f	f	f	f	f	f	f	f
object/tangible/ship/components/booster/bst_corellian_tjh3.iff	1	Test Booster Level 1	1020	27	89	21	16	79	79	430	675
object/tangible/ship/components/booster/bst_corellian_experimental_tjh3.iff	2	Test Booster Level 2	1530	41	133	31	23	119	119	425	1190
object/tangible/ship/components/booster/bst_cygnus_flashboost4.iff	3	Test Booster Level 3	1133	31	97	23	17	184	184	439	1746
object/tangible/ship/components/booster/bst_corellian_promotional_standard_thrust_enhancer.iff	4	Test Booster Level 4	1699	47	141	35	26	279	279	432	2974
object/tangible/ship/components/booster/bst_incom_intimidator_mk3.iff	5	Test Booster Level 5	1258	34	106	26	19	342	342	461	4578
object/tangible/ship/components/booster/bst_corellian_tuned_heavy_thrust_enhancer.iff	6	Test Booster Level 6	1887	51	156	39	29	514	514	456	7868
object/tangible/ship/components/booster/bst_corellian_advanced_thrust_enhancer.iff	7	Test Booster Level 7	1397	38	115	28	22	513	513	482	11929
object/tangible/ship/components/booster/bst_corellian_performance_advanced_thrust_enhancer.iff	8	Test Booster Level 8	2095	57	169	43	33	767	767	453	19894
object/tangible/ship/components/booster/bst_corellian_elite_thrust_enhancer.iff	9	Test Booster Level 9	1551	42	125	31	24	614	614	488	29964
object/tangible/ship/components/booster/bst_corellian_highly_modified_elite_thrust_enhancer.iff	10	Test Booster Level 10	2327	63	188	47	37	911	911	489	36193
