emoteName	Type	Contact	Alien
s	i[0]	i[0]	i[0]
backhand	3	1	0
bang	3	1	0
bodyslam	3	1	0
halfnelson	3	1	0
nelson	3	1	0
noogie	3	1	0
punch	3	1	0
slap	3	1	0
spit	3	1	0
strangle	3	1	0
tackle	3	1	0
bonk	2	1	1
claw	2	1	1
drool	2	1	1
elbow	2	1	1
lick	2	1	1
pet	2	1	1
pinch	2	1	1
provoke	2	1	1
puke	2	1	1
swat	2	1	1
twistarm	2	1	1
whap	2	1	1
fiddle	2	1	0
knockwood	2	1	0
lean	2	1	0
mosh	2	1	0
flail	2	0	1
charge	2	0	0
peyoo	1	0	0
echuta	2	0	0
fistpalm	2	0	0
poke	2	0	0
combhair	1	1	1
hug	1	1	1
kiss	1	1	1
melt	1	1	1
nuzzle	1	1	1
pat	1	1	1
scratch	1	1	1
slobber	1	1	1
snog	1	1	1
squeeze	1	1	1
stomp	1	1	1
sweat	1	1	1
toss	1	1	1
tug	1	1	1
tweak	1	1	1
covereyes	1	1	0
embrace	1	1	0
hi5	1	1	0
nap	1	1	0
pillow	1	1	0
prod	1	1	0
pull	1	1	0
push	1	1	0
ruffle	1	1	0
spin	1	1	0
stretch	1	1	0
tickle	1	1	0
brandish	1	0	1
burp	1	0	1
chestpound	1	0	1
chestpuff	2	0	0
curse	1	0	1
deride	1	0	1
flame	1	0	1
hand	1	0	1
pound	1	0	1
roar	1	0	1
adjust	1	0	0
boggle	1	0	0
chase	1	0	0
dance	1	0	0
diagnose	1	0	0
feel	1	0	0
fool	1	0	0
fume	1	0	0
gag	1	0	0
glare	1	0	0
growl	1	0	0
hiss	1	0	0
hose	1	0	0
mimic	1	0	0
mourn	1	0	0
mutter	1	0	0
pucker	1	0	0
raspberry	1	0	0
scare	1	0	0
scold	1	0	0
scowl	1	0	0
sharpen	1	0	0
slit	1	0	0
smell	1	0	0
snarl	1	0	0
sneer	1	0	0
steam	1	0	0
throwat	1	0	0
throwdown	1	0	0
tongue	1	0	0
veto	1	0	0
yawn	1	0	0
cheek	0	1	1
faint	0	1	0
holdon	0	1	0
tag	0	1	0
tap	0	1	0
twirl	0	1	0
arch	0	0	1
bah	0	0	1
bark	0	0	1
blowkiss	0	0	1
bouquet	0	0	1
censor	0	0	1
flirt	0	0	1
flutter	0	0	1
imitate	0	0	1
nails	0	0	1
nono	0	0	1
nudge	0	0	1
rubnose	0	0	1
sneeze	0	0	1
wookiehug	0	0	1
accuse	0	0	0
ache	0	0	0
adn	0	0	0
afk4drink	0	0	0
afk4food	0	0	0
agree	0	0	0
amazing	0	0	0
anxious	0	0	0
apologize	0	0	0
applaud	0	0	0
attend	0	0	0
ayt	0	0	0
bad	0	0	0
badfeeling	0	0	0
bak	0	0	0
batlashes	0	0	0
bbl	0	0	0
beam	0	0	0
blow	0	0	0
blush	0	0	0
bmoc	0	0	0
bob	0	0	0
boogie	0	0	0
bored	0	0	0
bounce	0	0	0
bow	0	0	0
bow2	0	0	0
bow3	0	0	0
bow4	0	0	0
bowhead	0	0	0
brb	0	0	0
brt	0	0	0
bye	0	0	0
cackle	0	0	0
callretreat	0	0	0
callstop	0	0	0
calm	0	0	0
catchbreath	0	0	0
cheer	0	0	0
chortle	0	0	0
chuckle	0	0	0
clap	0	0	0
closeeyes	0	0	0
combarea	0	0	0
comfort	0	0	0
congratulate	0	0	0
contemplate	0	0	0
cough	0	0	0
cover	0	0	0
cower	0	0	0
cringe	0	0	0
cry	0	0	0
culater	0	0	0
curtsey	0	0	0
deepbow	0	0	0
defend	0	0	0
deleteme5	0	0	0
demure	0	0	0
disagree	0	0	0
doh	0	0	0
down	0	0	0
dream	0	0	0
duck	0	0	0
eek	0	0	0
encourage	0	0	0
evilgrin	0	0	0
exhausted	0	0	0
eyebrow	0	0	0
eyeroll	0	0	0
false	0	0	0
faq	0	0	0
fear	0	0	0
feh	0	0	0
fidget	0	0	0
flee	0	0	0
flex	0	0	0
flip	0	0	0
flower	0	0	0
frown	0	0	0
fuzzy	0	0	0
gape	0	0	0
gasp	0	0	0
gawk	0	0	0
gaze	0	0	0
giggle	0	0	0
giveup	0	0	0
gloat	0	0	0
glow	0	0	0
greet	0	0	0
grin	0	0	0
groan	0	0	0
grovel	0	0	0
grumble	0	0	0
grunt	0	0	0
gulp	0	0	0
hack	0	0	0
hail	0	0	0
halo	0	0	0
helpme	0	0	0
hiccup	0	0	0
hobble	0	0	0
hop	0	0	0
huge	0	0	0
hum	0	0	0
hunger	0	0	0
imfull	0	0	0
innocent	0	0	0
introduce	0	0	0
isafk	0	0	0
jam	0	0	0
jas	0	0	0
jk	0	0	0
jump	0	0	0
kowtow	0	0	0
lagging	0	0	0
large	0	0	0
laugh	0	0	0
leer	0	0	0
left	0	0	0
legshake	0	0	0
lol	0	0	0
lost	0	0	0
love	0	0	0
luck	0	0	0
manual	0	0	0
medium	0	0	0
mercy	0	0	0
mirror	0	0	0
mope	0	0	0
nausea	0	0	0
nod	0	0	0
nose	0	0	0
omg	0	0	0
oneknee	0	0	0
opossum	0	0	0
pant	0	0	0
peer	0	0	0
peptalk	0	0	0
plugears	0	0	0
plugnose	0	0	0
pointat	0	0	0
pointdown	0	0	0
pointleft	0	0	0
pointright	0	0	0
pointup	0	0	0
ponder	0	0	0
pout	0	0	0
preen	0	0	0
primp	0	0	0
protect	0	0	0
pshrug	0	0	0
puzzle	0	0	0
question	0	0	0
quiet	0	0	0
raise	0	0	0
ready	0	0	0
reassure	0	0	0
right	0	0	0
rofl	0	0	0
rolleyes	0	0	0
rose	0	0	0
salute	0	0	0
