creatureName	rankName	rankValue	level
s	s	I[0]	I[0]
coa2_imperial_informant	no_rank	0	20
compforce_trooper	no_rank	0	21
gunner	no_rank	0	15
imperial_cadet	no_rank	0	9
mission_mos_eisley_police_lieutenant	no_rank	0	15
mission_mos_eisley_police_officer	no_rank	0	13
mission_mos_eisley_police_sergeant	no_rank	0	14
mos_eisley_police_lieutenant	no_rank	0	15
mos_eisley_police_officer	no_rank	0	13
mos_eisley_police_sergeant	no_rank	0	14
imperial_cadet_squadleader	private	1	11
imperial_civil_patrolman	private	1	6
imperial_private	private	1	15
imperial_trooper	private	1	15
mission_imperial_private	private	1	15
mission_imperial_trooper	private	1	15
mission_stormtrooper	private	1	25
mission_swamp_trooper	private	1	25
imperial_lance_corporal	lance_corporal	2	15
imperial_senior_cadet	lance_corporal	2	10
mission_imperial_lance_corporal	lance_corporal	2	15
corporal_sova	corporal	3	17
imperial_civil_patrol_corporal	corporal	3	7
imperial_corporal	corporal	3	16
mission_imperial_corporal	corporal	3	16
imperial_staff_corporal	staff_corporal	4	17
mission_imperial_staff_corporal	staff_corporal	4	17
imperial_civil_patrol_sergeant	sergeant	5	8
imperial_sergeant	sergeant	5	16
mission_imperial_sergeant	sergeant	5	16
imperial_staff_sergeant	staff_sergeant	6	17
mission_imperial_staff_sergeant	staff_sergeant	6	17
imperial_master_sergeant	master_sergeant	7	18
imperial_sergeant_major	master_sergeant	7	19
mission_imperial_master_sergeant	master_sergeant	7	18
mission_imperial_sergeant_major	master_sergeant	7	19
imperial_warrant_officer_ii	warrant_officer_2	8	18
mission_imperial_warrant_officer_ii	warrant_officer_2	8	18
imperial_warrant_officer_i	warrant_officer_1	9	19
mission_imperial_warrant_officer_i	warrant_officer_1	9	19
imperial_second_lieutenant	second_lieutenant	10	20
mission_imperial_second_lieutenant	second_lieutenant	10	20
imperial_civil_patrol_commander	lieutenant	11	10
imperial_first_lieutenant	lieutenant	11	20
mission_imperial_first_lieutenant	lieutenant	11	20
coa2_relay_captain	captain	12	29
imperial_army_captain	captain	12	21
imperial_civil_patrol_captain	captain	12	9
mission_imperial_army_captain	captain	12	21
stormtrooper_captain	captain	12	29
imperial_major	major	13	21
mission_imperial_major	major	13	21
stormtrooper_major	major	13	32
imperial_lieutenant_colonel	lieutenant_colonel	14	22
mission_imperial_lieutenant_colonel	lieutenant_colonel	14	22
imperial_colonel	colonel	15	23
mission_high_colonel	colonel	15	24
mission_imperial_colonel	colonel	15	23
high_colonel	brigadier_general	16	24
imperial_brigadier_general	brigadier_general	16	26
mission_imperial_brigadier_general	brigadier_general	16	25
imperial_major_general	major_general	17	26
mission_imperial_major_general	major_general	17	26
imperial_lieutenant_general	lieutenant_general	18	27
mission_imperial_lieutenant_general	lieutenant_general	18	27
general_otto	general	19	25
imperial_general	general	19	28
mission_imperial_general	general	19	28
imperial_high_general	high_general	20	29
mission_imperial_high_general	high_general	20	29
imperial_surface_marshal	surface_marshall	21	30
mission_imperial_surface_marshal	surface_marshall	21	30
coa2_relay_guard	rand_noncom	80	27
coa3_rebel_research_attacker1	rand_noncom	80	35
imperial_medic	rand_noncom	80	16
imperial_noncom	rand_noncom	80	14
imperial_recruiter	rand_noncom	80	30
imperial_retreat_guard	rand_noncom	80	72
imperial_sharpshooter	rand_noncom	80	17
lance_bombardier	rand_noncom	80	16
mission_assault_trooper	rand_noncom	80	26
mission_detention_security_guard	rand_noncom	80	15
mission_imperial_noncom	rand_noncom	80	14
mission_sand_trooper	rand_noncom	80	25
mission_scout_trooper	rand_noncom	80	23
mission_specialist_noncom	rand_noncom	80	13
mission_stormtrooper_medic	rand_noncom	80	25
mission_stormtrooper_rifleman	rand_noncom	80	25
mission_stormtrooper_sniper	rand_noncom	80	25
sand_trooper	rand_noncom	80	25
scout_trooper	rand_noncom	80	23
specialist_noncom	rand_noncom	80	13
storm_commando	rand_noncom	80	29
stormtrooper	rand_noncom	80	25
stormtrooper_black_hole	rand_noncom	80	27
stormtrooper_medic	rand_noncom	80	25
stormtrooper_rifleman	rand_noncom	80	25
stormtrooper_sniper	rand_noncom	80	25
stranded_imperial_soldier	rand_noncom	80	24
swamp_trooper	rand_noncom	80	25
swamp_trooper_anti_gungan	rand_noncom	80	25
veteran_compforce_trooper	rand_noncom	80	25
bombardier	rand_low_officer	81	15
coa2_imperial_coordinator	rand_low_officer	81	25
coa3_information_imperial	rand_low_officer	81	25
coa3_rebel_research_attacker2	rand_low_officer	81	45
coa3_tactical_imperial	rand_low_officer	81	25
comm_operator	rand_low_officer	81	14
command_security_guard	rand_low_officer	81	15
detention_security_guard	rand_low_officer	81	15
imperial_pilot	rand_low_officer	81	20
lt_velso	rand_low_officer	81	100
mission_bombardier	rand_low_officer	81	15
mission_comm_operator	rand_low_officer	81	14
mission_command_security_guard	rand_low_officer	81	15
mission_compforce_trooper	rand_low_officer	81	21
mission_gunner	rand_low_officer	81	15
mission_imperial_sharpshooter	rand_low_officer	81	17
mission_lance_bombardier	rand_low_officer	81	16
mission_special_missions_engineer	rand_low_officer	81	16
mission_stormtrooper_bombardier	rand_low_officer	81	25
mission_stormtrooper_squad_leader	rand_low_officer	81	27
mission_veteran_compforce_trooper	rand_low_officer	81	25
special_missions_engineer	rand_low_officer	81	16
stormtrooper_black_hole_squad_leader	rand_low_officer	81	29
stormtrooper_bombardier	rand_low_officer	81	25
stormtrooper_squad_leader	rand_low_officer	81	27
stranded_imperial_pilot	rand_low_officer	81	20
coa2_imperial_commander	rand_hi_officer	82	100
imperial_moff	rand_hi_officer	82	28
stranded_imperial_officer	rand_hi_officer	82	26
assault_trooper	elite	83	26
dark_trooper	elite	83	35
elite_dark_trooper	elite	83	65
elite_sand_trooper	elite	83	44
mission_dark_trooper	elite	83	35
mission_storm_commando	elite	83	29
imperial_exterminator	elite_officer	84	28
imperial_inquisitor	elite_officer	84	120
mission_imperial_exterminator	elite_officer	84	28
mission_imperial_inquisitor	elite_officer	84	120
