Planet	corellia	dantooine	dathomir	endor	lok	naboo	rori	talus	tatooine	yavin4	mustafar	kashyyyk_main
s	I	I	I	I	I	I	I	I	I	I	I	I
corellia	100	1000	2000	4000	x	500	x	300	600	3000	1000	2000
dantooine	700	100	x	x	x	x	x	x	x	x	x	x
dathomir	1250	x	100	x	x	x	x	x	x	x	x	x
endor	1750	x	x	100	x	1750	x	x	x	x	x	x
lok	x	x	x	x	100	1250	x	x	1250	x	x	x
naboo	500	x	x	4000	1000	100	300	x	500	x	x	x
rori	x	x	x	x	x	300	100	x	x	x	x	x
talus	300	x	x	x	x	x	x	100	x	x	1000	x
tatooine	600	x	x	x	1000	500	x	x	100	x	x	x
yavin4	1750	x	x	x	x	x	x	x	x	100	x	x
mustafar	1000	x	x	x	x	x	x	1000	x	x	100	x
kashyyyk_main	1250	x	x	x	x	x	x	x	x	x	x	100
