quest_giver_object_template	quest_name	pre_quest_name	quest_is_repeatable	do_not_destroy	imperial_only	rebel_only	quest_offer_text
s	s	s	i[0]	i[0]	i[0]	i[0]	s
object/tangible/quest/quest_start/corellia_coronet_meatlump_act1_viewscreen.iff	corellia_coronet_meatlump_act1_begin						
object/tangible/quest/quest_start/ep3_clone_relics_jedi_starfighter.iff	ep3_clone_relics_jedi_starfighter_1				1		
object/tangible/quest/quest_start/ep3_clone_relics_nym_starmap.iff	ep3_clone_relics_nym_starmap_1		1				
object/tangible/quest/quest_start/ep3_hunt_loot_brightclaw_jaw.iff	ep3_hunt_loot_brightclaw_killed						
object/tangible/quest/quest_start/ep3_hunt_loot_greyclimber_eye.iff	ep3_hunt_loot_greyclimber_killed						
object/tangible/quest/quest_start/ep3_hunt_loot_paleclaw_jaw.iff	ep3_hunt_loot_paleclaw_killed						
object/tangible/quest/quest_start/ep3_hunt_loot_silkthrower_fang.iff	ep3_hunt_loot_silkthrower_killed						
object/tangible/quest/quest_start/ep3_hunt_loot_spiketop_horn.iff	ep3_hunt_loot_spiketop_killed						
object/tangible/quest/quest_start/ep3_hunt_loot_stoneleg_heart.iff	ep3_hunt_loot_stoneleg_killed						
object/tangible/quest/quest_start/naboo_kadaara_jonni_skaak_journal.iff	naboo_kadaara_jonni_skaak						
object/tangible/quest/quest_start/som_kenobi_hidden_treasure_plaque.iff	som_kenobi_hidden_treasure_1		1	1			
object/tangible/quest/quest_start/som_kenobi_reunite_shard.iff	som_kenobi_reunite_shard_1		1	1			
object/tangible/quest/quest_start/som_kenobi_symbiosis_fluid_container.iff	som_kenobi_symbiosis_1			1			
object/tangible/loot/quest/runestone.iff	ep3_myyydril_rensalla_1						
object/tangible/loot/quest/npe_journal.iff	npe_journal_quest			
object/tangible/quest/quest_start/profession_bounty_hunter_10.iff	c_bounty_hunter_kill_1			1
object/tangible/quest/quest_start/profession_bounty_hunter_20.iff	c_bounty_hunter_kill_2			1
object/tangible/quest/quest_start/profession_bounty_hunter_30.iff	under_construction			1
object/tangible/quest/quest_start/profession_commando_10.iff	prof_commando_11			1
object/tangible/quest/quest_start/profession_commando_20.iff	prof_commando_21			1
object/tangible/quest/quest_start/profession_commando_30.iff	under_construction			1
object/tangible/quest/quest_start/profession_entertainer_10.iff	under_construction			1
object/tangible/quest/quest_start/profession_entertainer_20.iff	under_construction			1
object/tangible/quest/quest_start/profession_entertainer_30.iff	under_construction			1
object/tangible/quest/quest_start/profession_force_sensitive_10.iff	prof_force_sensitive_11			1
object/tangible/quest/quest_start/profession_force_sensitive_20.iff	prof_force_sensitive_21_1			1
object/tangible/quest/quest_start/profession_force_sensitive_30.iff	under_construction			1
object/tangible/quest/quest_start/profession_medic_10.iff	profession_medic_11			1
object/tangible/quest/quest_start/profession_medic_20.iff	prof_medic_21			1
object/tangible/quest/quest_start/profession_medic_30.iff	under_construction			1
object/tangible/quest/quest_start/profession_officer_10.iff	prof_officer_11			1			
object/tangible/quest/quest_start/profession_officer_20.iff	prof_officer_21			1			
object/tangible/quest/quest_start/profession_officer_30.iff	under_construction			1			
object/tangible/quest/quest_start/profession_smuggler_10.iff	c_smuggler_han_link			1			
object/tangible/quest/quest_start/profession_smuggler_20.iff	c_smuggler_steal_2			1			
object/tangible/quest/quest_start/profession_smuggler_30.iff	under_construction			1			
object/tangible/quest/quest_start/profession_spy_10.iff	prof_spy_11			1			
object/tangible/quest/quest_start/profession_spy_20.iff	prof_spy_21			1			
object/tangible/quest/quest_start/profession_spy_30.iff	under_construction			1			
object/tangible/quest/quest_start/profession_trader_10.iff	under_construction			1			
object/tangible/quest/quest_start/profession_trader_20.iff	under_construction			1			
object/tangible/quest/quest_start/profession_trader_30.iff	under_construction			1			
object/tangible/quest/quest_start/borvo_acklay_armor.iff	borvo_acklay_find_armorer_again	borvo_acklay_find_armorer	1				
object/tangible/quest/quest_start/chapter7_publish_gift_collection_token.iff	chapter7_publish_gift_activation						
object/tangible/quest/township/axkva_nightsister_headdress.iff	axkva_min_intro			1			axkva_min_intro
