Index	quest1	quest2
s	s	s
0 - Type	destroy	fetch
1 - Convo File	epic_quest/krayt_skull/borvo_the_hutt	epic_quest/krayt_skull/borvo_the_hutt
2 - Overall Gating objvar	epic.krayt.borvo	epic.krayt.borvo
3 - temporary Quest ID	borvo	borvo
4 - Reward	credits	object/tangible/loot/quest/rifle_quest_tusken.iff
5 - Faction Adjustment	Hutt	Hutt
6 - Deliver/Retrieve object		object/tangible/loot/misc/keepsakes.iff
7 - Deliver/Retrieve object2		
8 - Player script	npc.epic_quest.quest_player	npc.epic_quest.quest_player
9 - NPC	thug	thug
10 - NPC script	npc.epic_quest.quest_npc	npc.epic_quest.quest_npc
11 - NPC name		
12 - Gating Object	object/tangible/loot/misc/briefcase_s01.iff	
13 - Gating Gift		object/tangible/loot/misc/briefcase_s01.iff
14 - unused
15 - unused
16 - unused
17 - Extras
18 - Extras
19 - Extras
20 - Extras
21 - Extras
