Index	quest1
s	s
0 - Type	deliver
1 - Convo File	epic_quest/krayt_skull/huff_guard
2 - Overall Gating objvar	epic.krayt.huff_guard
3 - temporary Quest ID	huff_guard
4 - Reward	credits
5 - Faction Adjustment	Rebel
6 - Deliver/Retrieve object	object/tangible/loot/misc/ledger_s01.iff
7 - Deliver/Retrieve object2	
8 - Player script	npc.epic_quest.quest_player
9 - NPC	commoner
10 - NPC script	npc.epic_quest.quest_npc
11 - NPC name	Contact
12 - Gating Object	
13 - Gating Gift	epic.krayt.huff
14 - unused
15 - unused
16 - unused
17 - Extras
18 - Extras
19 - Extras
20 - Extras
21 - Extras
