Index	quest1	quest2
s	s	s
0 - Type	escort	fetch
1 - Convo File	epic_quest/krayt_skull/borvo_guard	epic_quest/krayt_skull/borvo_guard
2 - Overall Gating objvar	epic.krayt	epic.krayt
3 - temporary Quest ID	borvo_guard	borvo_guard
4 - Reward	credits	object/tangible/loot/quest/huff_quest_corsec_badge.iff
5 - Faction Adjustment		
6 - Deliver/Retrieve object		object/tangible/loot/misc/ledger_s01.iff
7 - Deliver/Retrieve object2		
8 - Player script	npc.epic_quest.quest_player	npc.epic_quest.quest_player
9 - NPC	commoner_human_male	thug
10 - NPC script	npc.epic_quest.quest_npc	npc.epic_quest.quest_npc
11 - NPC name	Dagorel	Frangee
12 - Gating Object		
13 - Gating Gift	none	object/tangible/loot/misc/ledger_s01.iff
14 - unused
15 - unused
16 - unused
17 - Extras
18 - Extras
19 - Extras
20 - Extras
21 - Extras
