Index	quest1
s	s
0 - Type	smuggle
1 - Convo File	epic_quest/disruptor/kwin
2 - Overall Gating objvar	epic.disruptor
3 - temporary Quest ID	kwin_moonraiser
4 - Reward	object/tangible/loot/quest/hvy_disruptor_cannon_broken.iff
5 - Faction Adjustment	
6 - Deliver/Retrieve object	object/tangible/loot/misc/ledger_s01.iff
7 - Deliver/Retrieve object2	
8 - Player script	npc.epic_quest.quest_player
9 - NPC	commoner
10 - NPC script	npc.epic_quest.quest_npc
11 - NPC name	Captain Oleg
12 - Gating Object	object/tangible/loot/misc/ticket_expired.iff
13 - Gating Gift	
14 - unused
15 - unused
16 - unused
17 - Extras
18 - Extras
19 - Extras
20 - Extras
21 - Extras
