Index	quest1	quest2
s	s	s
0 - Type	rescue	destroy
1 - Convo File	epic_quest/krayt_skull/huff_darklighter	epic_quest/krayt_skull/huff_darklighter
2 - Overall Gating objvar	epic.krayt.huff	epic.krayt.huff
3 - temporary Quest ID	huff_darklighter	huff_darklighter
4 - Reward	credits	object/tangible/loot/quest/frn_quest_krayt_skull_01.iff
5 - Faction Adjustment	Rebel	Rebel
6 - Deliver/Retrieve object		
7 - Deliver/Retrieve object2		
8 - Player script	npc.epic_quest.quest_player	npc.epic_quest.quest_player
9 - NPC	patron_human_female_01	thug
10 - NPC script	npc.epic_quest.quest_npc	npc.epic_quest.quest_npc
11 - NPC name	Darklighter's Niece	Thug
12 - Gating Object	object/tangible/loot/quest/rifle_quest_tusken.iff	
13 - Gating Gift		object/tangible/loot/quest/frn_quest_krayt_skull_01.iff
14 - Gatign Objvar	epic.krayt.rifle
15 - unused	
16 - unused	
17 - Extras	
18 - Extras	
19 - Extras	
20 - Extras	
21 - Extras	
