item1	item2	item3	finalTemplate	finalScript	finalName	level
s[none]	s[none]	s[none]	s[none]	s[none]	s[none]	c
object/tangible/loot/mustafar/cube_loot/cube_loot_3p.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_3q.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_3r.iff	object/tangible/item/som/sher_kar_syringe.iff			LEVEL 27 ITEM
object/tangible/loot/mustafar/cube_loot/cube_loot_3l.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_3m.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_3o.iff	item_tow_lava_crystal_06_01			LEVEL 27 ITEM
object/tangible/loot/mustafar/cube_loot/cube_loot_3j.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_3k.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_3n.iff	item_jedi_robe_04_04			LEVEL 27 ITEM
object/tangible/loot/mustafar/cube_loot/cube_loot_3h.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_3i.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_3n.iff	item_jedi_robe_04_03			LEVEL 27 ITEM
object/tangible/loot/mustafar/cube_loot/cube_loot_3c.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_3e.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_3f.iff	item_tow_necklace_taming_03_05			LEVEL 27 ITEM
object/tangible/loot/mustafar/cube_loot/cube_loot_3b.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_3f.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_3j.iff	item_tow_bracelet_proc_combat_03_01			LEVEL 27 ITEM
object/tangible/loot/mustafar/cube_loot/cube_loot_3l.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_3o.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_2r.iff	weapon_tow_cannon_05_01			LEVEL 21 ITEM
object/tangible/loot/mustafar/cube_loot/cube_loot_3k.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_3o.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_2g.iff	weapon_tow_sword_2h_05_01			LEVEL 21 ITEM
object/tangible/loot/mustafar/cube_loot/cube_loot_3k.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_3l.iff	object/tangible/loot/mustafar/cube_loot/cube_loot_2r.iff	weapon_tow_pistol_05_02			LEVEL 21 ITEM
