questName	rebelCollection	imperialCollection	neutralCollection
s	s	s	s
quest/gcw_construct_barricade	trader_construct_barricade_rebel	trader_construct_barricade_imperial	
quest/gcw_construct_patrol	trader_construct_patrol_point_rebel	trader_construct_patrol_point_imperial	
quest/gcw_construct_tower	trader_construct_tower_rebel	trader_construct_tower_imperial	
quest/gcw_construct_turret	trader_construct_turret_rebel	trader_construct_turret_imperial	
quest/gcw_construct_vehicle	trader_construct_vehicle_rebel	trader_construct_vehicle_imperial	
quest/gcw_construct_vehicle_boss	trader_construct_hailfire_rebel	trader_construct_at_at_imperial	
quest/gcw_repair_barricade	trader_repair_barricade_rebel	trader_repair_barricade_imperial	
quest/gcw_repair_patrol	trader_repair_patrol_point_rebel	trader_repair_patrol_point_imperial	
quest/gcw_repair_turret	trader_repair_turret_rebel	trader_repair_turret_imperial	
quest/gcw_repair_vehicle	trader_repair_vehicle_rebel	trader_repair_vehicle_imperial	
quest/gcw_entertain_fatigue	entertainer_cure_fatigue_rebel	entertainer_cure_fatigue_imperial	
quest/gcw_entertain_rallying	entertainer_demorazlied_troops_rebel	entertainer_demorazlied_troops_imperial	
quest/gcw_entertain_patrol	entertainer_troop_spawn_rebel	entertainer_troop_spawn_imperial	
quest/gcw_medic_heal	medic_heal_soldier_rebel	medic_heal_soldier_imperial	
quest/gcw_smuggler_slicing	smuggler_slice_terminal_rebel	smuggler_slice_terminal_imperial
quest/gcw_spy_destroy_patrol	spy_destroy_patrol_point_rebel	spy_destroy_patrol_point_imperial
quest/gcw_defend_rebel_barricade	combat_defend_barricade_rebel	
quest/gcw_defend_rebel_tower	combat_defend_tower_rebel	
quest/gcw_defend_rebel_turret	combat_defend_turret_rebel	
quest/gcw_defend_imperial_barricade		combat_defend_barricade_imperial
quest/gcw_defend_imperial_tower		combat_defend_tower_imperial
quest/gcw_defend_imperial_turret		combat_defend_turret_imperial
quest/gcw_destroy_barricade	combat_destroy_barricade_rebel	combat_destroy_barricade_imperial
quest/gcw_destroy_turret	combat_destroy_turret_rebel	combat_destroy_turret_imperial
