collection_name	xpModifier	is_space_xp	slot_name	quest	item	stackAmount	grantRandomItem	grantWeightedRandom	command	skill_mod	skill_mod_amount	skill_mod_max	quest_signal	crafting_template	category	comments	reward_text
s	f[0.0]	i[0]	s	s	s	i[1]	i[0]	i[0]	s	s	i[1]	i[10]	s	s	s	c	c
kill_tuskens_01	0.1													object/tangible/collection/reward/potted_plant_reward_01.iff	crafted_plant_reward	"If you wish to grant a reward at certain index of a counter collection, you use the catagory ""updateOnCount"" appended with a colon (:) and then the count number you wish to grant a reward at.
For example. If you want to give a reward for slot ""test_col_01"	Player Title and a small amount of XP
col_feather					col_feather_pillow_reward_02_01									object/tangible/collection/reward/potted_flower_reward_01.iff	crafted_flower_reward	"if you need more than one of any reward, or delivery method, just separate them by a comma
collection_name: corresponds to the collection_name column in the collections.tab
badge: slot_name of the badge reward you would like to give
quest: Quest string_id to grant upon completion of the collection
item: is used to list the items to give as a reward. These items can be static items or snowflakes.
quest_signal: To do this you need to put the slot name under collection_name column and the signal in the quest_signal column. This will send a signal to a quest the player should have on them. If they player does not have this quest, or is not on this task, nothing will happen. This should only be used with very structured collections/quests.
crafting_template and category columns: These columns have nothing to do with the rest of the table or any other column on the same row. They are used for updating crafting collections. Rather than making a new datatable we have added these two columns in this table. If you want a crafting collection, you specificy the object template of the item to craft in the crafting_template column. Then you specify the catagory for the corresponding slotNames. In collections.tab you put the same catagory name for the slotName you want updated.

Some rewards are granted upon updating a collection slot, rather than a collection. To do this you need to put the slot name under collection_name column, then add the catagory ""rewardOnUpdate"" to that slot in the collections.tab.  If you need to wait until the counter collection is complete to reward use ""rewardOnComplete"". If you do not want to give a reward and you don't want a message at all use ""noMessage""

stackAmount is used to designate how many of the same stackable item you are going to give the player. If you have non-stack and stackable items you are giving to the player the non-stack items will be ignored because the script is looking for the autostack script attached to the object before it increments. If you have two objects that are stackable you can not designate a different amount for both stackable objects at this time."	Feather Pillow Schematic
col_rancor_parts	0.3													object/tangible/component/droid/droid_dance_module.iff	crafted_dancing_droid_reward		A large amount of XP
col_bone	0.2													object/tangible/collection/reward/hanging_light_reward_01.iff	crafted_light_reward		A medium amount of XP
kill_womprats_01	0.1		womprat_complete											object/tangible/collection/reward/fish_tank_reward.iff	crafted_fish_tank_reward	Tatooine - Title:Womprat Slayer	Player Title and a small amount of XP
kill_tabages_01	0.1		tabage_complete											object/tangible/collection/reward/posed_ig_88_reward.iff	crafted_posed_ig88_reward	Corellia - Title:Tabage Triggerman	Player Title and a small amount of XP
kill_vrelts_01	0.1		vrelt_complete											object/tangible/collection/reward/posed_stormtrooper_reward.iff	crafted_posed_stormtrooper_reward	Corellia - Title:Vrelt Exterminator	Player Title and a small amount of XP
kill_vir_vurs_01	0.2		vir_vur_complete											object/tangible/collection/reward/smc_jeweled_necklace_reward.iff	crafted_nightsister_necklace_reward	Rori - Title:Vir Vur Eradicator	Player Title and a medium amount of XP
kill_squalls_01	0.2		squall_complete											object/tangible/collection/reward/dwartii_statue_braata.iff	crafted_dwartii_statue_reward	Rori - Title:Squall Suppressor	Player Title and a medium amount of XP
kill_langlatches_01	0.2		langlatch_complete											object/tangible/collection/reward/dwartii_statue_faya.iff	crafted_dwartii_statue_reward	Lok - Title:Langlatch Liquidator	Player Title and a medium amount of XP
